Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	EpLen	AverageVVals	StdVVals	MaxVVals	MinVVals	TotalEnvInteracts	LossPi	LossV	DeltaLossPi	DeltaLossV	Entropy	KL	ClipFrac	StopIter	Time
0	-210.96748	136.00572	20.520496	-566.8308	85.478264	-0.08853412	0.033668507	0.04130259	-0.26705727	4000	-3.1352045e-08	37563.65	-0.012193399	-1308.2227	1.3501971	0.015017248	0.133	41.0	1.070241928100586
1	-188.39442	128.4022	21.17671	-469.33118	90.545456	-4.2197833	0.48083544	1.6433997	-4.62345	8000	8.046627e-08	28985.607	-0.009478181	-1024.8086	1.3759738	0.009581916	0.099	79.0	2.054088592529297
2	-154.08453	87.02435	0.37964827	-396.06946	94.825	-8.010076	0.55633235	0.4127487	-8.258515	12000	7.045269e-08	16640.396	-0.009474166	-542.16113	1.3559296	0.0066445516	0.09225	79.0	3.019397735595703
3	-129.806	49.414333	-40.896152	-311.0474	96.60976	-10.731748	0.06850042	-9.6700735	-10.796062	16000	4.4584276e-08	10429.105	-0.01151689	-430.30566	1.3705901	0.010676399	0.10625	79.0	3.89909291267395
4	-151.50374	81.25999	-34.636963	-344.83865	94.64286	-13.1161175	0.05010453	-12.459043	-13.158093	20000	-6.484986e-08	15662.847	-0.008409633	-560.02344	1.3586311	0.0155867385	0.2825	20.0	4.806018590927124
5	-146.87344	85.911835	-62.91281	-438.83362	106.62162	-15.79885	0.14462715	-13.582932	-15.842716	24000	-8.046627e-08	15744.902	-0.012323821	-549.626	1.3444661	0.015078156	0.135	21.0	5.664173603057861
6	-147.83154	87.12213	48.407112	-338.22006	140.64285	-18.399723	0.36465448	-15.164905	-18.513615	28000	3.242493e-08	12312.071	-0.010684391	-341.94043	1.3438473	0.01505588	0.085	58.0	6.947936058044434
7	-107.284645	67.31652	16.984327	-319.90854	98.575	-20.649212	0.10137257	-16.747383	-20.674284	32000	-5.3644182e-09	8235.956	-0.009941129	-230.02588	1.34257	0.011467859	0.05825	79.0	7.8512678146362305
8	-119.31525	66.10289	-3.3633738	-262.40237	118.0	-22.45826	0.1075663	-20.668198	-22.481678	36000	3.3140182e-08	8376.908	-0.012077969	-290.9751	1.326751	0.015149794	0.1275	48.0	8.753638744354248
9	-94.86014	51.117916	37.214737	-205.633	115.28125	-24.486172	0.11841294	-22.754255	-24.516905	40000	-1.9073487e-09	4773.3525	-0.007646383	-110.78955	1.3041116	0.009059561	0.07075	79.0	9.714085102081299
10	-105.66087	75.37074	15.217578	-251.25769	134.86208	-25.84041	0.050120562	-24.711685	-25.859617	44000	2.1219254e-08	7619.451	-0.010057103	-230.33252	1.2770704	0.008973001	0.135	79.0	10.774900436401367
