Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	EpLen	AverageVVals	StdVVals	MaxVVals	MinVVals	TotalEnvInteracts	LossPi	LossV	DeltaLossPi	DeltaLossV	Entropy	KL	ClipFrac	StopIter	Time
0	20.836842	10.758092	70.0	9.0	20.836842	0.29568452	0.14821143	0.834196	-0.03143406	4000	-3.8649887e-08	223.99452	-0.0145421205	-16.082325	0.6856029	0.008267812	0.1015	79.0	0.23015689849853516
1	27.202797	16.959663	111.0	9.0	27.202797	1.0798875	0.24045515	2.6596348	0.8447543	8000	-5.727634e-08	404.9962	-0.012984594	-36.3695	0.6904379	0.0023095538	0.045500003	79.0	0.43748950958251953
2	27.617022	15.613079	122.0	9.0	27.617022	2.4394011	0.59637624	6.477912	1.9120107	12000	-1.0803342e-07	339.8911	-0.014025451	-48.030193	0.6827197	0.0070851473	0.04225	79.0	0.6454620361328125
3	34.55263	19.766663	118.0	12.0	34.55263	4.4171443	0.8808732	11.922773	3.218985	16000	8.8475645e-09	422.21722	-0.009846177	-80.54979	0.6687913	0.0044265604	0.019749999	79.0	0.8528611660003662
4	40.326317	23.575384	124.0	11.0	40.326317	7.2862887	1.2165445	13.192403	4.1751146	20000	5.2154064e-08	483.6827	-0.009538669	-103.73108	0.65755117	0.0027939456	0.01775	79.0	1.058873176574707
5	49.33766	28.554169	150.0	11.0	49.33766	11.119564	1.6543922	23.018698	6.3873806	24000	1.8626451e-08	544.1178	-0.012536546	-122.34284	0.6495511	0.0045639323	0.024500001	79.0	1.265270709991455
6	65.53333	39.120953	156.0	12.0	65.53333	16.115858	2.9676414	39.44705	11.948179	28000	-8.381903e-08	741.9453	-0.010255531	-165.81143	0.63757515	0.002743219	0.011	79.0	1.4697835445404053
7	87.833336	47.08448	192.0	13.0	87.833336	22.780794	4.6992517	56.95884	14.721533	32000	-1.7695129e-08	851.7418	-0.00759135	-211.01884	0.6323835	0.003484602	0.0165	79.0	1.6744704246520996
8	86.954544	53.434734	271.0	18.0	86.954544	28.615406	3.3539796	51.937725	18.627962	36000	4.284084e-08	681.4856	-0.009040334	-113.77098	0.6214665	0.00446019	0.023	79.0	1.8782405853271484
9	138.11539	68.55056	276.0	19.0	138.11539	32.341583	5.4682856	58.785786	12.8463745	40000	1.8626451e-09	967.6544	-0.006485746	-255.52347	0.61974907	0.0021464787	0.012499999	79.0	2.0813238620758057
