Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	EpLen	AverageVVals	StdVVals	MaxVVals	MinVVals	TotalEnvInteracts	LossPi	LossV	DeltaLossPi	DeltaLossV	Entropy	KL	ClipFrac	StopIter	Time
0	23.860605	12.337623	74.0	8.0	23.860605	-0.14677523	0.15556331	0.23576908	-0.5995051	4000	-3.8184226e-08	293.7283	-0.014280354	-25.46273	0.6913029	0.0063578417	0.092999995	79.0	0.229827880859375
1	27.364286	16.543108	103.0	9.0	27.364286	0.80741394	0.4039101	1.7483835	-0.6901672	8000	-3.1664968e-08	416.6657	-0.011970405	-44.257957	0.68312085	0.0056098867	0.0375	79.0	0.44380760192871094
2	35.495415	19.698471	123.0	9.0	35.495415	2.219564	0.40834963	3.318434	0.7217809	12000	-1.3038516e-08	502.303	-0.011506399	-74.257935	0.67183596	0.0031108353	0.03475	79.0	0.6595678329467773
3	40.87629	22.573252	135.0	9.0	40.87629	4.452311	0.2673366	5.286066	3.116122	16000	-1.0058284e-07	538.71924	-0.010450186	-90.71544	0.6561412	0.0044977292	0.02675	79.0	0.8721230030059814
4	48.746834	26.95588	144.0	11.0	48.746834	7.247796	0.24031939	7.7232604	6.0992646	20000	1.4901161e-08	603.76324	-0.0109404195	-111.33627	0.64299065	0.0045694	0.030250002	79.0	1.0845189094543457
5	62.754097	35.152435	159.0	17.0	62.754097	10.606536	0.14199795	10.846642	9.438255	24000	5.6810677e-08	778.5035	-0.011176522	-153.50189	0.6324172	0.0051662317	0.0295	79.0	1.2958567142486572
6	86.795456	47.39178	200.0	17.0	86.795456	14.09217	2.7261431	19.889437	-1.3911877	28000	3.1664968e-08	1108.0774	-0.009633161	-230.511	0.6286446	0.0044080853	0.02925	79.0	1.5064849853515625
7	113.26471	54.596546	239.0	39.0	113.26471	19.233362	0.54244465	20.983269	16.232822	32000	-1.8626451e-08	1181.3684	-0.0060350224	-207.77144	0.6157901	0.002436486	0.0125	79.0	1.716655969619751
8	142.75	63.79867	271.0	29.0	142.75	23.474733	0.7376144	25.406912	19.928999	36000	4.0978193e-08	1404.5923	-0.0060540875	-250.79167	0.61339885	0.005692465	0.023	79.0	1.9274530410766602
9	139.55556	62.847454	302.0	29.0	139.55556	28.570496	0.29851297	28.86915	26.836376	40000	-5.3085387e-08	1037.4053	-0.007689201	-142.55403	0.60578144	0.007252014	0.037750002	79.0	2.137089490890503
