Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	EpLen	AverageVVals	StdVVals	MaxVVals	MinVVals	TotalEnvInteracts	LossPi	LossV	DeltaLossPi	DeltaLossV	Entropy	KL	ClipFrac	StopIter	Time
0	21.208555	12.845204	98.0	8.0	21.208555	-0.046153877	0.0757982	0.19841146	-0.21767668	4000	1.2852252e-07	285.5377	-0.031215623	-131.414	0.69251996	0.014614989	0.208	79.0	0.2967531681060791
1	31.182539	19.527922	114.0	8.0	31.182539	7.75556	1.1713417	20.803764	6.8570046	8000	1.5832484e-08	315.7725	-0.023771588	-145.81052	0.68614113	0.006738991	0.09424999	79.0	0.583031177520752
2	49.0875	37.516727	209.0	10.0	49.0875	18.353117	2.1179636	23.6191	11.240033	12000	1.4901161e-08	504.9478	-0.01919233	-137.19531	0.6661688	0.0029054144	0.071	79.0	0.8557968139648438
3	66.37931	41.740093	173.0	11.0	66.37931	28.533922	4.593662	34.48905	3.3972237	16000	-7.450581e-09	440.96716	-0.019332735	-66.40616	0.6428751	0.007992463	0.069000006	79.0	1.1256921291351318
4	117.22581	66.36347	345.0	11.0	117.22581	33.053547	6.7998266	41.606346	7.6802025	20000	2.2351742e-08	632.9917	-0.013826238	-293.5412	0.6224783	0.0046211905	0.0455	79.0	1.394695520401001
5	138.66667	45.547695	217.0	14.0	138.66667	47.743214	15.4236	61.65648	-9.608274	24000	0.0	294.31778	-0.01385906	-12.127777	0.6049791	0.004961499	0.07275	79.0	1.6621789932250977
6	185.36842	52.541924	300.0	98.0	185.36842	48.928623	15.645447	64.09398	-6.075812	28000	-3.213063e-08	286.49805	-0.013480848	-130.80864	0.5815474	0.006744328	0.06025	79.0	1.9288783073425293
7	246.0	84.73488	423.0	107.0	246.0	56.57662	19.380922	77.68867	-4.52289	32000	4.0978193e-08	227.69983	-0.010893359	-97.35598	0.5621946	0.015202155	0.1365	25.0	2.143324375152588
8	366.1111	119.10541	646.0	262.0	366.1111	68.23366	20.656141	89.3179	-3.2959359	36000	5.401671e-08	180.82396	-0.012009286	-120.475296	0.5457597	0.0060497094	0.064500004	79.0	2.4082441329956055
9	597.6	233.1168	919.0	346.0	597.6	74.87001	23.579142	95.886406	-7.5281577	40000	7.450581e-09	334.41583	-0.010034276	-158.4084	0.5466202	0.008426535	0.09825	79.0	2.67570424079895
