Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	EpLen	AverageVVals	StdVVals	MaxVVals	MinVVals	TotalEnvInteracts	LossPi	LossV	DeltaLossPi	DeltaLossV	Entropy	KL	ClipFrac	StopIter	Time
0	22.322035	12.205547	87.0	8.0	22.322035	-0.19988105	0.12470312	0.17762507	-0.48883379	4000	3.1664968e-08	278.693	-0.01483816	-157.37701	0.6927557	0.015290418	0.236	15.0	0.23691082000732422
1	31.67742	20.415264	127.0	10.0	31.67742	8.166095	0.28483695	8.551859	5.8639646	8000	6.7055225e-08	317.58344	-0.016137112	-100.23357	0.68306756	0.003999914	0.06725	79.0	0.5236916542053223
2	39.46	23.781263	119.0	12.0	39.46	14.770435	0.25090975	15.015398	11.499329	12000	5.029142e-08	291.6672	-0.013132477	-57.751724	0.6691206	0.0030338955	0.046	79.0	0.8083672523498535
3	50.96	30.630896	136.0	13.0	50.96	18.815792	2.2163415	19.761581	-7.4008107	16000	1.4901161e-08	389.8615	-0.01725074	-72.21477	0.65159637	0.007518431	0.07025	79.0	1.091994285583496
4	79.458336	56.92391	251.0	12.0	79.458336	24.033617	2.6357408	25.00419	-7.059856	20000	4.656613e-08	772.3832	-0.011823375	-201.77527	0.6325229	0.0053081703	0.04875	79.0	1.3734409809112549
5	142.3077	51.072926	250.0	33.0	142.3077	32.444977	2.443724	32.98031	-15.003763	24000	7.636845e-08	822.5462	-0.00596958	-265.4785	0.6216082	0.0026249911	0.02175	79.0	1.6548032760620117
6	147.34616	53.822315	279.0	36.0	147.34616	37.06006	7.055417	40.933197	5.5940895	28000	-4.5634806e-08	613.94275	-0.0069052633	-167.31563	0.60738	0.0019288044	0.013	79.0	1.9369642734527588
7	170.18182	55.107857	256.0	41.0	170.18182	39.86447	10.528841	47.054436	5.176782	32000	-1.6763806e-08	527.0282	-0.007043478	-180.18507	0.5996593	0.004798216	0.04625	79.0	2.220252513885498
8	184.73685	50.631634	284.0	107.0	184.73685	46.152596	11.701607	53.237938	4.5418935	36000	1.6763806e-08	440.93524	-0.0077873087	-114.67381	0.6011081	0.0061834347	0.029000001	79.0	2.503420352935791
9	198.66667	52.772045	275.0	62.0	198.66667	47.501617	15.840498	58.21478	5.104704	40000	-1.8626451e-08	359.60095	-0.007962333	-106.611755	0.59847236	0.0066945404	0.067499995	79.0	2.786332130432129
