process_timestamp,process_pid,process_process_name,process_cpu_percent,process_cpu_percent_per_core,process_logical_cpu_count,process_cpu_times_user,process_cpu_times_system,process_num_threads,system_timestamp,system_cpu_percent,system_cpu_count,system_load_avg_1m
2025-07-18T17:09:55.999619,13407,python,0.0,0.0,32,7.27,0.19,90,2025-07-18T17:09:55.999839,0.0,32,0.34765625
2025-07-18T17:09:56.500330,13407,python,103.8,3.24375,32,7.78,0.2,90,2025-07-18T17:09:56.500412,4.8,32,0.34765625
2025-07-18T17:09:57.001308,13407,python,107.8,3.36875,32,8.31,0.22,90,2025-07-18T17:09:57.001372,5.1,32,0.56005859375
2025-07-18T17:09:57.503226,13407,python,105.6,3.3,32,8.82,0.23,90,2025-07-18T17:09:57.503328,4.5,32,0.56005859375
2025-07-18T17:09:58.005435,13407,python,105.5,3.296875,32,9.34,0.24,90,2025-07-18T17:09:58.005595,4.5,32,0.56005859375
2025-07-18T17:09:58.508051,13407,python,105.5,3.296875,32,9.85,0.26,90,2025-07-18T17:09:58.508106,4.0,32,0.56005859375
2025-07-18T17:09:59.009254,13407,python,105.7,3.303125,32,10.37,0.27,90,2025-07-18T17:09:59.009309,4.2,32,0.56005859375
2025-07-18T17:09:59.509849,13407,python,103.9,3.246875,32,10.88,0.28,90,2025-07-18T17:09:59.510059,10.5,32,0.56005859375
2025-07-18T17:10:00.010887,13407,python,107.7,3.365625,32,11.41,0.29,90,2025-07-18T17:10:00.010968,7.2,32,0.56005859375
2025-07-18T17:10:00.526296,13407,python,103.0,3.21875,32,11.92,0.31,90,2025-07-18T17:10:00.526406,7.0,32,0.56005859375
2025-07-18T17:10:01.027112,13407,python,105.7,3.303125,32,12.44,0.32,90,2025-07-18T17:10:01.027200,7.1,32,0.56005859375
2025-07-18T17:10:01.527850,13407,python,105.8,3.30625,32,12.95,0.34,90,2025-07-18T17:10:01.527886,6.5,32,0.56005859375
2025-07-18T17:10:02.028494,13407,python,99.9,3.121875,32,13.44,0.35,90,2025-07-18T17:10:02.028557,4.2,32,0.595703125
2025-07-18T17:10:02.529926,13407,python,107.7,3.365625,32,13.96,0.37,90,2025-07-18T17:10:02.529968,4.9,32,0.595703125
2025-07-18T17:10:03.030376,13407,python,103.9,3.246875,32,14.47,0.38,90,2025-07-18T17:10:03.030438,4.3,32,0.595703125
2025-07-18T17:10:03.530958,13407,python,107.9,3.371875,32,14.99,0.4,90,2025-07-18T17:10:03.531025,4.8,32,0.595703125
2025-07-18T17:10:04.031908,13407,python,105.8,3.30625,32,15.51,0.41,90,2025-07-18T17:10:04.031978,6.2,32,0.595703125
2025-07-18T17:10:04.532635,13407,python,105.8,3.30625,32,16.03,0.42,90,2025-07-18T17:10:04.532689,4.5,32,0.595703125
2025-07-18T17:10:05.033685,13407,python,107.8,3.36875,32,16.55,0.44,90,2025-07-18T17:10:05.033767,4.4,32,0.595703125
2025-07-18T17:10:05.535544,13407,python,103.6,3.2375,32,17.06,0.45,90,2025-07-18T17:10:05.535672,4.0,32,0.595703125
2025-07-18T17:10:06.036728,13407,python,107.8,3.36875,32,17.58,0.47,90,2025-07-18T17:10:06.036818,4.5,32,0.595703125
2025-07-18T17:10:06.537159,13407,python,103.8,3.24375,32,18.09,0.48,90,2025-07-18T17:10:06.537203,4.4,32,0.595703125
2025-07-18T17:10:07.039266,13407,python,109.5,3.421875,32,18.61,0.51,90,2025-07-18T17:10:07.039353,5.0,32,0.70849609375
2025-07-18T17:10:07.542050,13407,python,107.4,3.35625,32,19.13,0.53,90,2025-07-18T17:10:07.542118,4.4,32,0.70849609375
2025-07-18T17:10:08.043848,13407,python,105.6,3.3,32,19.65,0.54,90,2025-07-18T17:10:08.043907,4.6,32,0.70849609375
2025-07-18T17:10:08.544587,13407,python,105.8,3.30625,32,20.17,0.55,90,2025-07-18T17:10:08.544791,4.8,32,0.70849609375
2025-07-18T17:10:09.045458,13407,python,107.8,3.36875,32,20.69,0.57,90,2025-07-18T17:10:09.045520,4.8,32,0.70849609375
2025-07-18T17:10:09.547399,13407,python,105.6,3.3,32,21.21,0.58,90,2025-07-18T17:10:09.547444,4.4,32,0.70849609375
2025-07-18T17:10:10.048085,13407,python,103.9,3.246875,32,21.72,0.59,90,2025-07-18T17:10:10.048154,4.5,32,0.70849609375
2025-07-18T17:10:10.549043,13407,python,107.8,3.36875,32,22.24,0.61,90,2025-07-18T17:10:10.549442,4.8,32,0.70849609375
2025-07-18T17:10:11.050609,13407,python,107.7,3.365625,32,22.76,0.63,90,2025-07-18T17:10:11.050679,6.4,32,0.70849609375
2025-07-18T17:10:11.552736,13407,python,105.6,3.3,32,23.28,0.64,90,2025-07-18T17:10:11.552806,4.1,32,0.70849609375
