process_timestamp,process_pid,process_process_name,process_cpu_percent,process_cpu_percent_per_core,process_logical_cpu_count,process_cpu_times_user,process_cpu_times_system,process_num_threads,system_timestamp,system_cpu_percent,system_cpu_percent_per_core,system_cpu_count,system_load_avg_1m
2025-07-21T09:18:19.509778,3801856,python,2995.1,93.596875,32,7.33,0.21,90,2025-07-21T09:18:19.611126,0.0,"[10.0, 0.0, 9.1, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 90.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",32,0.7451171875
2025-07-21T09:18:20.119454,3801856,python,100.5,3.140625,32,7.93,0.22,90,2025-07-21T09:18:20.221147,4.0,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 9.1, 0.0, 0.0, 0.0, 0.0, 100.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",32,0.7451171875
2025-07-21T09:18:20.721865,3801856,python,102.5,3.203125,32,8.54,0.23,90,2025-07-21T09:18:20.823062,3.6,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 10.0, 0.0, 0.0, 0.0, 100.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",32,0.7451171875
2025-07-21T09:18:21.323506,3801856,python,101.4,3.16875,32,9.14,0.24,90,2025-07-21T09:18:21.427728,3.7,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 100.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",32,0.7451171875
2025-07-21T09:18:21.928223,3801856,python,100.9,3.153125,32,9.74,0.25,90,2025-07-21T09:18:22.029419,3.5,"[0.0, 0.0, 0.0, 0.0, 9.1, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 9.1, 100.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",32,0.765625
2025-07-21T09:18:22.530055,3801856,python,101.4,3.16875,32,10.34,0.26,90,2025-07-21T09:18:22.630851,3.6,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 100.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",32,0.765625
2025-07-21T09:18:23.131174,3801856,python,103.2,3.225,32,10.95,0.27,90,2025-07-21T09:18:23.232113,3.5,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 100.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",32,0.765625
2025-07-21T09:18:23.732430,3801856,python,101.4,3.16875,32,11.55,0.28,90,2025-07-21T09:18:23.833804,3.5,"[10.0, 10.0, 10.0, 0.0, 30.0, 0.0, 33.3, 0.0, 20.0, 0.0, 0.0, 40.0, 33.3, 0.0, 54.5, 11.1, 9.1, 10.0, 0.0, 0.0, 9.1, 10.0, 0.0, 0.0, 11.1, 0.0, 9.1, 0.0, 20.0, 20.0, 20.0, 0.0]",32,0.765625
2025-07-21T09:18:24.334278,3801856,python,99.7,3.115625,32,12.15,0.28,90,2025-07-21T09:18:24.435165,4.9,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 100.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",32,0.765625
2025-07-21T09:18:24.935664,3801856,python,101.5,3.171875,32,12.75,0.29,90,2025-07-21T09:18:25.036437,3.5,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 9.1, 0.0, 0.0, 100.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",32,0.765625
2025-07-21T09:18:25.536998,3801856,python,101.4,3.16875,32,13.35,0.3,90,2025-07-21T09:18:25.638070,3.5,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 100.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",32,0.765625
2025-07-21T09:18:26.138262,3801856,python,101.4,3.16875,32,13.95,0.31,90,2025-07-21T09:18:26.239122,3.6,"[0.0, 0.0, 0.0, 0.0, 9.1, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 100.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",32,0.765625
2025-07-21T09:18:26.739883,3801856,python,101.4,3.16875,32,14.55,0.32,90,2025-07-21T09:18:26.840476,3.4,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 9.1, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 100.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",32,0.78466796875
2025-07-21T09:18:27.341234,3801856,python,101.4,3.16875,32,15.15,0.33,90,2025-07-21T09:18:27.442610,3.5,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 9.1, 0.0, 9.1, 0.0, 0.0, 0.0, 100.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",32,0.78466796875
2025-07-21T09:18:27.943024,3801856,python,103.0,3.21875,32,15.76,0.34,90,2025-07-21T09:18:28.044350,3.5,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 10.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 100.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",32,0.78466796875
2025-07-21T09:18:28.544865,3801856,python,101.4,3.16875,32,16.36,0.35,90,2025-07-21T09:18:28.648205,3.5,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 60.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 40.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",32,0.78466796875
2025-07-21T09:18:29.148512,3801856,python,101.1,3.159375,32,16.96,0.36,90,2025-07-21T09:18:29.249548,3.4,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 9.1, 9.1, 100.0, 0.0, 9.1, 0.0, 0.0, 9.1, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",32,0.78466796875
2025-07-21T09:18:29.750485,3801856,python,101.4,3.16875,32,17.56,0.37,90,2025-07-21T09:18:29.851345,3.5,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 10.0, 0.0, 0.0, 0.0, 100.0, 0.0, 0.0, 0.0, 9.1, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",32,0.78466796875
2025-07-21T09:18:30.353000,3801856,python,101.4,3.16875,32,18.16,0.38,90,2025-07-21T09:18:30.453805,3.4,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 100.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",32,0.78466796875
2025-07-21T09:18:30.954340,3801856,python,101.2,3.1625,32,18.77,0.38,90,2025-07-21T09:18:31.054937,3.4,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 9.1, 0.0, 0.0, 100.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",32,0.78466796875
2025-07-21T09:18:31.555570,3801856,python,101.5,3.171875,32,19.37,0.39,90,2025-07-21T09:18:31.656880,3.4,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 100.0, 9.1, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",32,0.88232421875
2025-07-21T09:18:32.157348,3801856,python,101.3,3.165625,32,19.97,0.4,90,2025-07-21T09:18:32.258398,3.5,"[10.0, 20.0, 10.0, 9.1, 10.0, 27.3, 0.0, 27.3, 9.1, 20.0, 30.0, 0.0, 10.0, 10.0, 10.0, 100.0, 20.0, 0.0, 10.0, 0.0, 0.0, 18.2, 0.0, 9.1, 10.0, 9.1, 0.0, 20.0, 9.1, 0.0, 0.0, 20.0]",32,0.88232421875
