process_timestamp,process_pid,process_process_name,process_cpu_percent,process_cpu_percent_per_core,process_logical_cpu_count,process_cpu_times_user,process_cpu_times_system,process_num_threads,system_timestamp,system_cpu_percent,system_cpu_percent_per_core,system_cpu_count,system_load_avg_1m
2025-07-21T10:03:21.534483,3806394,pt_main_thread,88.3,2.759375,32,5.46,2.21,66,2025-07-21T10:03:21.641491,0.0,"[9.1, 0.0, 10.0, 0.0, 10.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 25.0, 0.0, 54.5, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 33.3, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",32,0.23046875
2025-07-21T10:03:22.144072,3806394,pt_main_thread,366.7,11.459375,32,7.45,2.45,96,2025-07-21T10:03:22.245006,12.7,"[20.0, 10.0, 45.5, 0.0, 44.4, 0.0, 50.0, 0.0, 50.0, 0.0, 60.0, 0.0, 40.0, 60.0, 36.4, 40.0, 11.1, 10.0, 0.0, 0.0, 9.1, 10.0, 18.2, 10.0, 0.0, 0.0, 0.0, 0.0, 0.0, 10.0, 16.7, 0.0]",32,0.77294921875
2025-07-21T10:03:22.745536,3806394,pt_main_thread,532.0,16.625,32,10.36,2.75,96,2025-07-21T10:03:22.846993,17.3,"[11.1, 40.0, 40.0, 0.0, 36.4, 9.1, 27.3, 10.0, 50.0, 0.0, 44.4, 10.0, 63.6, 0.0, 40.0, 20.0, 25.0, 20.0, 20.0, 10.0, 18.2, 10.0, 10.0, 9.1, 0.0, 0.0, 10.0, 0.0, 0.0, 10.0, 0.0, 0.0]",32,0.77294921875
2025-07-21T10:03:23.347884,3806394,pt_main_thread,542.8,16.9625,32,13.25,3.12,96,2025-07-21T10:03:23.448506,18.2,"[30.0, 22.2, 22.2, 0.0, 45.5, 0.0, 40.0, 0.0, 54.5, 20.0, 44.4, 0.0, 50.0, 44.4, 27.3, 60.0, 11.1, 10.0, 10.0, 0.0, 0.0, 10.0, 9.1, 0.0, 9.1, 10.0, 10.0, 0.0, 0.0, 9.1, 10.0, 0.0]",32,0.77294921875
2025-07-21T10:03:23.949624,3806394,pt_main_thread,535.2,16.725,32,16.05,3.54,115,2025-07-21T10:03:24.050996,19.4,"[27.3, 30.0, 40.0, 0.0, 22.2, 27.3, 0.0, 54.5, 44.4, 0.0, 63.6, 0.0, 30.0, 50.0, 45.5, 0.0, 18.2, 11.1, 10.0, 10.0, 0.0, 20.0, 0.0, 0.0, 10.0, 0.0, 0.0, 0.0, 0.0, 10.0, 9.1, 10.0]",32,0.77294921875
2025-07-21T10:03:24.551831,3806394,pt_main_thread,536.5,16.765625,32,18.93,3.89,96,2025-07-21T10:03:24.653326,17.4,"[22.2, 0.0, 36.4, 0.0, 36.4, 0.0, 50.0, 10.0, 55.6, 0.0, 60.0, 0.0, 0.0, 80.0, 54.5, 0.0, 30.0, 20.0, 0.0, 20.0, 10.0, 10.0, 0.0, 0.0, 0.0, 18.2, 10.0, 0.0, 0.0, 0.0, 0.0, 0.0]",32,0.77294921875
2025-07-21T10:03:25.155347,3806394,pt_main_thread,539.9,16.871875,32,21.87,4.21,96,2025-07-21T10:03:25.256078,17.2,"[30.0, 0.0, 0.0, 9.1, 50.0, 0.0, 40.0, 0.0, 9.1, 88.9, 0.0, 100.0, 30.0, 50.0, 60.0, 0.0, 10.0, 10.0, 10.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 10.0, 0.0, 0.0, 10.0, 10.0, 0.0]",32,0.77294921875
2025-07-21T10:03:25.756596,3806394,pt_main_thread,527.2,16.475,32,24.79,4.46,96,2025-07-21T10:03:25.857833,16.7,"[20.0, 30.0, 30.0, 0.0, 55.6, 0.0, 10.0, 50.0, 20.0, 72.7, 40.0, 0.0, 70.0, 0.0, 40.0, 0.0, 11.1, 10.0, 11.1, 9.1, 0.0, 9.1, 0.0, 0.0, 0.0, 0.0, 9.1, 0.0, 10.0, 0.0, 0.0, 0.0]",32,0.77294921875
2025-07-21T10:03:26.358123,3806394,pt_main_thread,541.9,16.934375,32,27.73,4.78,96,2025-07-21T10:03:26.458750,17.7,"[44.4, 0.0, 40.0, 10.0, 50.0, 0.0, 40.0, 10.0, 44.4, 0.0, 45.5, 33.3, 55.6, 27.3, 50.0, 20.0, 10.0, 18.2, 11.1, 10.0, 10.0, 0.0, 0.0, 9.1, 9.1, 9.1, 0.0, 10.0, 0.0, 0.0, 0.0, 0.0]",32,0.77294921875
2025-07-21T10:03:26.959065,3806394,pt_main_thread,535.8,16.74375,32,30.65,5.08,96,2025-07-21T10:03:27.062832,18.4,"[30.0, 30.0, 44.4, 0.0, 0.0, 81.8, 40.0, 0.0, 40.0, 0.0, 20.0, 11.1, 0.0, 90.9, 77.8, 0.0, 0.0, 10.0, 0.0, 0.0, 0.0, 9.1, 9.1, 9.1, 9.1, 0.0, 0.0, 9.1, 9.1, 0.0, 0.0, 0.0]",32,0.77294921875
2025-07-21T10:03:27.564226,3806394,pt_main_thread,530.5,16.578125,32,33.55,5.39,96,2025-07-21T10:03:27.664762,18.3,"[60.0, 0.0, 0.0, 90.9, 11.1, 0.0, 40.0, 0.0, 45.5, 0.0, 70.0, 0.0, 80.0, 0.0, 60.0, 0.0, 20.0, 10.0, 0.0, 9.1, 0.0, 0.0, 10.0, 0.0, 0.0, 0.0, 10.0, 0.0, 0.0, 0.0, 0.0, 0.0]",32,1.19189453125
2025-07-21T10:03:28.164974,3806394,pt_main_thread,539.2,16.85,32,36.49,5.69,113,2025-07-21T10:03:28.267871,17.0,"[10.0, 40.0, 22.2, 0.0, 20.0, 0.0, 50.0, 0.0, 50.0, 0.0, 50.0, 10.0, 60.0, 0.0, 70.0, 0.0, 33.3, 20.0, 10.0, 9.1, 18.2, 18.2, 27.3, 10.0, 0.0, 0.0, 0.0, 0.0, 9.1, 0.0, 10.0, 0.0]",32,1.19189453125
2025-07-21T10:03:28.768171,3806394,pt_main_thread,542.2,16.94375,32,39.44,6.01,99,2025-07-21T10:03:28.868687,17.5,"[0.0, 45.5, 10.0, 63.6, 12.5, 0.0, 50.0, 0.0, 55.6, 0.0, 60.0, 0.0, 0.0, 100.0, 70.0, 0.0, 11.1, 10.0, 0.0, 10.0, 0.0, 0.0, 0.0, 10.0, 0.0, 0.0, 0.0, 9.1, 0.0, 0.0, 0.0, 10.0]",32,1.19189453125
