process_timestamp,process_pid,process_process_name,process_cpu_percent,process_cpu_percent_per_core,process_logical_cpu_count,process_cpu_times_user,process_cpu_times_system,process_num_threads,system_timestamp,system_cpu_percent,system_cpu_percent_per_core,system_cpu_count,system_load_avg_1m
2025-07-28T00:37:52.128211,17799,python,230.8,5.7700000000000005,40,13.6,0.93,122,2025-07-28T00:37:52.232391,0.0,"[0.0, 0.0, 100.0, 90.9, 50.0, 100.0, 0.0, 11.1, 0.0, 0.0, 0.0, 100.0, 20.0, 30.0, 80.0, 100.0, 100.0, 0.0, 100.0, 0.0, 100.0, 20.0, 20.0, 0.0, 100.0, 0.0, 100.0, 10.0, 0.0, 100.0, 100.0, 0.0, 100.0, 0.0, 90.0, 22.2, 0.0, 100.0, 20.0, 0.0]",40,5.46
2025-07-28T00:37:52.734739,17799,python,100.3,2.5075,40,14.2,0.96,122,2025-07-28T00:37:52.837885,44.3,"[0.0, 20.0, 100.0, 20.0, 20.0, 80.0, 10.0, 100.0, 18.2, 0.0, 0.0, 80.0, 0.0, 81.8, 33.3, 100.0, 100.0, 0.0, 100.0, 0.0, 100.0, 0.0, 0.0, 0.0, 100.0, 0.0, 100.0, 0.0, 0.0, 100.0, 100.0, 0.0, 100.0, 0.0, 40.0, 60.0, 27.3, 100.0, 20.0, 18.2]",40,5.46
2025-07-28T00:37:53.339184,17799,python,107.5,2.6875,40,14.81,1.0,122,2025-07-28T00:37:53.441262,43.5,"[0.0, 0.0, 100.0, 100.0, 0.0, 100.0, 20.0, 100.0, 0.0, 0.0, 0.0, 100.0, 0.0, 90.0, 0.0, 100.0, 100.0, 0.0, 100.0, 0.0, 100.0, 22.2, 0.0, 9.1, 0.0, 0.0, 90.0, 0.0, 22.2, 100.0, 100.0, 0.0, 100.0, 0.0, 100.0, 44.4, 0.0, 100.0, 0.0, 0.0]",40,5.46
2025-07-28T00:37:53.942021,17799,python,114.4,2.8600000000000003,40,15.45,1.05,122,2025-07-28T00:37:54.047629,43.7,"[0.0, 9.1, 100.0, 100.0, 20.0, 100.0, 50.0, 0.0, 100.0, 0.0, 10.0, 100.0, 0.0, 0.0, 9.1, 100.0, 90.9, 0.0, 100.0, 90.9, 90.9, 0.0, 0.0, 0.0, 0.0, 54.5, 90.0, 0.0, 0.0, 100.0, 100.0, 0.0, 100.0, 0.0, 77.8, 0.0, 0.0, 100.0, 20.0, 0.0]",40,6.39
2025-07-28T00:37:54.548448,17799,python,102.2,2.555,40,16.05,1.07,122,2025-07-28T00:37:54.652602,43.7,"[0.0, 10.0, 90.9, 100.0, 100.0, 0.0, 27.3, 0.0, 100.0, 0.0, 0.0, 100.0, 0.0, 100.0, 0.0, 100.0, 20.0, 0.0, 80.0, 36.4, 100.0, 0.0, 20.0, 0.0, 0.0, 22.2, 90.0, 10.0, 0.0, 100.0, 100.0, 0.0, 100.0, 0.0, 90.0, 0.0, 0.0, 90.0, 90.0, 0.0]",40,6.39
2025-07-28T00:37:55.153611,17799,python,109.1,2.7275,40,16.67,1.11,122,2025-07-28T00:37:55.258746,43.1,"[100.0, 100.0, 90.0, 90.9, 0.0, 100.0, 9.1, 40.0, 100.0, 0.0, 9.1, 0.0, 0.0, 100.0, 0.0, 100.0, 100.0, 0.0, 0.0, 100.0, 0.0, 20.0, 20.0, 0.0, 0.0, 10.0, 90.0, 20.0, 30.0, 0.0, 100.0, 30.0, 100.0, 0.0, 100.0, 0.0, 0.0, 90.0, 81.8, 33.3]",40,6.39
2025-07-28T00:37:55.760601,17799,python,107.2,2.68,40,17.29,1.14,122,2025-07-28T00:37:55.862967,44.0,"[0.0, 81.8, 90.0, 88.9, 100.0, 100.0, 10.0, 22.2, 40.0, 18.2, 0.0, 33.3, 100.0, 100.0, 100.0, 100.0, 100.0, 0.0, 0.0, 83.3, 100.0, 36.4, 11.1, 30.0, 40.0, 54.5, 90.0, 22.2, 20.0, 0.0, 100.0, 30.0, 0.0, 0.0, 9.1, 0.0, 0.0, 90.0, 100.0, 20.0]",40,6.39
2025-07-28T00:37:56.364432,17799,python,112.5,2.8125,40,17.91,1.2,122,2025-07-28T00:37:56.467478,44.4,"[10.0, 9.1, 100.0, 100.0, 100.0, 100.0, 0.0, 22.2, 20.0, 100.0, 0.0, 20.0, 100.0, 100.0, 0.0, 0.0, 100.0, 20.0, 20.0, 90.0, 0.0, 100.0, 20.0, 0.0, 40.0, 0.0, 90.0, 33.3, 0.0, 0.0, 100.0, 30.0, 20.0, 9.1, 100.0, 100.0, 0.0, 90.0, 100.0, 45.5]",40,6.39
2025-07-28T00:37:56.968813,17799,python,109.2,2.73,40,18.51,1.26,122,2025-07-28T00:37:57.101661,44.2,"[76.9, 0.0, 100.0, 83.3, 100.0, 100.0, 0.0, 23.1, 0.0, 0.0, 0.0, 75.0, 0.0, 100.0, 25.0, 38.5, 75.0, 14.3, 15.4, 0.0, 0.0, 100.0, 0.0, 0.0, 38.5, 0.0, 100.0, 25.0, 0.0, 0.0, 100.0, 100.0, 100.0, 0.0, 0.0, 7.7, 100.0, 100.0, 100.0, 0.0]",40,6.39
2025-07-28T00:37:57.602660,17799,python,105.7,2.6425,40,19.15,1.29,122,2025-07-28T00:37:57.706785,43.6,"[0.0, 0.0, 100.0, 100.0, 55.6, 100.0, 0.0, 50.0, 20.0, 100.0, 0.0, 0.0, 0.0, 90.9, 90.0, 100.0, 0.0, 0.0, 0.0, 0.0, 0.0, 100.0, 0.0, 0.0, 0.0, 10.0, 100.0, 33.3, 0.0, 0.0, 100.0, 100.0, 100.0, 0.0, 0.0, 0.0, 100.0, 100.0, 100.0, 0.0]",40,6.39
2025-07-28T00:37:58.208270,17799,python,107.3,2.6825,40,19.78,1.31,122,2025-07-28T00:37:58.309961,43.3,"[100.0, 0.0, 100.0, 0.0, 90.0, 100.0, 0.0, 70.0, 63.6, 100.0, 0.0, 0.0, 0.0, 0.0, 88.9, 100.0, 50.0, 0.0, 0.0, 0.0, 20.0, 100.0, 0.0, 0.0, 0.0, 0.0, 90.9, 54.5, 0.0, 0.0, 100.0, 100.0, 90.0, 0.0, 0.0, 0.0, 100.0, 100.0, 100.0, 0.0]",40,6.39
2025-07-28T00:37:58.811731,17799,python,107.9,2.6975000000000002,40,20.39,1.35,122,2025-07-28T00:37:58.918211,44.2,"[0.0, 100.0, 0.0, 100.0, 0.0, 0.0, 0.0, 100.0, 100.0, 0.0, 0.0, 0.0, 0.0, 100.0, 100.0, 100.0, 100.0, 0.0, 0.0, 36.4, 100.0, 0.0, 100.0, 0.0, 20.0, 0.0, 100.0, 0.0, 0.0, 100.0, 0.0, 100.0, 100.0, 0.0, 0.0, 0.0, 0.0, 100.0, 100.0, 0.0]",40,7.24
2025-07-28T00:37:59.419877,17799,python,106.9,2.6725000000000003,40,21.01,1.38,122,2025-07-28T00:37:59.523201,43.3,"[100.0, 0.0, 0.0, 88.9, 100.0, 0.0, 0.0, 100.0, 0.0, 10.0, 100.0, 10.0, 0.0, 100.0, 100.0, 100.0, 0.0, 0.0, 0.0, 0.0, 0.0, 100.0, 100.0, 33.3, 0.0, 20.0, 100.0, 0.0, 20.0, 10.0, 0.0, 0.0, 100.0, 20.0, 0.0, 10.0, 100.0, 100.0, 100.0, 100.0]",40,7.24
2025-07-28T00:38:00.024927,17799,python,109.1,2.7275,40,21.62,1.43,122,2025-07-28T00:38:00.127672,43.7,"[100.0, 0.0, 0.0, 90.9, 100.0, 0.0, 0.0, 100.0, 30.0, 20.0, 87.5, 11.1, 100.0, 100.0, 0.0, 100.0, 0.0, 0.0, 0.0, 0.0, 20.0, 100.0, 100.0, 10.0, 0.0, 0.0, 90.0, 0.0, 30.0, 0.0, 33.3, 0.0, 9.1, 0.0, 90.9, 36.4, 100.0, 100.0, 100.0, 100.0]",40,7.24
2025-07-28T00:38:00.628737,17799,python,109.2,2.73,40,22.24,1.47,122,2025-07-28T00:38:00.735402,43.7,"[0.0, 0.0, 0.0, 100.0, 20.0, 70.0, 0.0, 100.0, 11.1, 0.0, 100.0, 0.0, 100.0, 100.0, 0.0, 100.0, 0.0, 20.0, 20.0, 0.0, 100.0, 100.0, 100.0, 0.0, 0.0, 30.0, 100.0, 0.0, 36.4, 11.1, 0.0, 0.0, 20.0, 10.0, 100.0, 20.0, 100.0, 100.0, 100.0, 90.0]",40,7.24
2025-07-28T00:38:01.236263,17799,python,100.4,2.5100000000000002,40,22.84,1.48,122,2025-07-28T00:38:01.339152,43.7,"[50.0, 0.0, 83.3, 100.0, 0.0, 90.0, 0.0, 100.0, 0.0, 18.2, 100.0, 0.0, 100.0, 0.0, 0.0, 100.0, 90.9, 0.0, 0.0, 9.1, 100.0, 90.0, 0.0, 0.0, 10.0, 66.7, 100.0, 36.4, 22.2, 20.0, 0.0, 100.0, 0.0, 0.0, 100.0, 0.0, 0.0, 100.0, 100.0, 88.9]",40,7.24
2025-07-28T00:38:01.840972,17799,python,109.4,2.7350000000000003,40,23.48,1.51,122,2025-07-28T00:38:01.945006,43.7,"[9.1, 100.0, 30.0, 0.0, 10.0, 30.0, 9.1, 100.0, 33.3, 36.4, 100.0, 0.0, 100.0, 0.0, 0.0, 100.0, 0.0, 0.0, 0.0, 10.0, 90.0, 90.9, 0.0, 40.0, 0.0, 90.0, 100.0, 0.0, 0.0, 100.0, 0.0, 100.0, 0.0, 100.0, 90.9, 0.0, 0.0, 90.0, 100.0, 90.0]",40,7.24
2025-07-28T00:38:02.446671,17799,python,112.1,2.8024999999999998,40,24.1,1.56,122,2025-07-28T00:38:02.549977,43.6,"[0.0, 0.0, 0.0, 0.0, 0.0, 30.0, 0.0, 100.0, 100.0, 44.4, 100.0, 0.0, 100.0, 20.0, 0.0, 90.0, 20.0, 0.0, 0.0, 11.1, 90.9, 100.0, 36.4, 33.3, 22.2, 100.0, 90.0, 0.0, 0.0, 100.0, 30.0, 100.0, 0.0, 100.0, 70.0, 0.0, 0.0, 90.0, 100.0, 90.9]",40,7.24
2025-07-28T00:38:03.050810,17799,python,107.5,2.6875,40,24.72,1.59,122,2025-07-28T00:38:03.179310,43.4,"[0.0, 0.0, 25.0, 0.0, 92.3, 0.0, 0.0, 100.0, 100.0, 25.0, 0.0, 25.0, 100.0, 16.7, 100.0, 0.0, 16.7, 0.0, 0.0, 8.3, 90.9, 100.0, 36.4, 0.0, 36.4, 91.7, 90.9, 0.0, 8.3, 100.0, 100.0, 100.0, 0.0, 90.9, 0.0, 30.8, 8.3, 100.0, 100.0, 90.9]",40,7.24
