process_timestamp,process_pid,process_process_name,process_cpu_percent,process_cpu_percent_per_core,process_logical_cpu_count,process_cpu_times_user,process_cpu_times_system,process_num_threads,system_timestamp,system_cpu_percent,system_cpu_percent_per_core,system_cpu_count,system_load_avg_1m
2025-07-28T17:05:02.565007,440904,python,0.0,0.0,32,7.25,0.18,110,2025-07-28T17:05:02.671460,0.0,"[10.0, 0.0, 0.0, 0.0, 9.1, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 100.0, 0.0, 0.0, 0.0, 0.0, 9.1, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",32,2.5224609375
2025-07-28T17:05:03.183489,440904,python,114.1,3.565625,32,7.86,0.19,110,2025-07-28T17:05:03.285105,3.8,"[11.1, 9.1, 20.0, 9.1, 10.0, 10.0, 10.0, 0.0, 9.1, 10.0, 20.0, 0.0, 70.0, 20.0, 40.0, 0.0, 10.0, 0.0, 0.0, 0.0, 10.0, 9.1, 9.1, 10.0, 0.0, 9.1, 10.0, 18.2, 10.0, 10.0, 0.0, 0.0]",32,2.5224609375
2025-07-28T17:05:03.785844,440904,python,108.4,3.3875,32,8.48,0.23,110,2025-07-28T17:05:03.886925,40.3,"[33.3, 30.0, 40.0, 40.0, 20.0, 44.4, 10.0, 88.9, 20.0, 72.7, 11.1, 88.9, 20.0, 90.0, 0.0, 100.0, 45.5, 50.0, 50.0, 40.0, 44.4, 40.0, 40.0, 50.0, 50.0, 30.0, 33.3, 60.0, 55.6, 55.6, 37.5, 37.5]",32,2.5224609375
2025-07-28T17:05:04.388206,440904,python,104.6,3.26875,32,9.09,0.25,110,2025-07-28T17:05:04.489087,35.1,"[22.2, 50.0, 44.4, 54.5, 40.0, 50.0, 0.0, 100.0, 20.0, 80.0, 55.6, 30.0, 0.0, 100.0, 0.0, 100.0, 40.0, 50.0, 33.3, 33.3, 44.4, 40.0, 44.4, 50.0, 33.3, 44.4, 40.0, 40.0, 44.4, 50.0, 45.5, 37.5]",32,4.32275390625
2025-07-28T17:05:04.989717,440904,python,101.4,3.16875,32,9.69,0.26,110,2025-07-28T17:05:05.091774,26.4,"[11.1, 10.0, 18.2, 0.0, 20.0, 27.3, 18.2, 10.0, 18.2, 0.0, 30.0, 0.0, 33.3, 27.3, 44.4, 27.3, 11.1, 18.2, 11.1, 0.0, 0.0, 0.0, 18.2, 18.2, 10.0, 25.0, 10.0, 10.0, 30.0, 20.0, 0.0, 10.0]",32,4.32275390625
2025-07-28T17:05:05.593530,440904,python,109.4,3.41875,32,10.31,0.3,110,2025-07-28T17:05:05.694445,39.1,"[22.2, 50.0, 18.2, 72.7, 40.0, 45.5, 22.2, 70.0, 10.0, 90.0, 20.0, 90.0, 30.0, 72.7, 12.5, 70.0, 40.0, 50.0, 50.0, 50.0, 50.0, 50.0, 33.3, 50.0, 50.0, 54.5, 40.0, 50.0, 60.0, 50.0, 55.6, 55.6]",32,4.32275390625
2025-07-28T17:05:06.194783,440904,python,106.3,3.321875,32,10.92,0.33,110,2025-07-28T17:05:06.296129,34.6,"[40.0, 37.5, 45.5, 45.5, 27.3, 66.7, 40.0, 63.6, 11.1, 72.7, 33.3, 33.3, 0.0, 100.0, 50.0, 40.0, 45.5, 45.5, 45.5, 44.4, 45.5, 44.4, 50.0, 54.5, 45.5, 60.0, 44.4, 45.5, 50.0, 45.5, 40.0, 33.3]",32,4.32275390625
2025-07-28T17:05:06.796579,440904,python,108.0,3.375,32,11.54,0.36,110,2025-07-28T17:05:06.899518,37.2,"[36.4, 54.5, 30.0, 60.0, 18.2, 90.0, 10.0, 70.0, 40.0, 22.2, 33.3, 50.0, 45.5, 60.0, 0.0, 100.0, 40.0, 45.5, 44.4, 40.0, 44.4, 37.5, 50.0, 33.3, 45.5, 30.0, 45.5, 50.0, 40.0, 25.0, 50.0, 30.0]",32,4.32275390625
2025-07-28T17:05:07.399857,440904,python,104.4,3.2625,32,12.16,0.37,110,2025-07-28T17:05:07.500750,34.0,"[11.1, 66.7, 60.0, 45.5, 36.4, 44.4, 40.0, 36.4, 27.3, 63.6, 16.7, 90.0, 0.0, 100.0, 0.0, 100.0, 33.3, 45.5, 33.3, 44.4, 44.4, 40.0, 30.0, 50.0, 40.0, 33.3, 50.0, 44.4, 60.0, 40.0, 40.0, 45.5]",32,4.32275390625
2025-07-28T17:05:08.001073,440904,python,101.5,3.171875,32,12.76,0.38,110,2025-07-28T17:05:08.102142,44.3,"[0.0, 9.1, 0.0, 11.1, 0.0, 10.0, 0.0, 0.0, 0.0, 11.1, 0.0, 10.0, 0.0, 100.0, 0.0, 10.0, 0.0, 0.0, 9.1, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 9.1, 0.0, 0.0]",32,4.32275390625
2025-07-28T17:05:08.602681,440904,python,106.4,3.325,32,13.37,0.41,110,2025-07-28T17:05:08.703425,34.3,"[22.2, 55.6, 0.0, 90.0, 33.3, 50.0, 36.4, 44.4, 22.2, 60.0, 30.0, 50.0, 0.0, 100.0, 100.0, 0.0, 33.3, 45.5, 40.0, 40.0, 33.3, 33.3, 40.0, 50.0, 44.4, 30.0, 44.4, 44.4, 44.4, 25.0, 50.0, 33.3]",32,4.32275390625
2025-07-28T17:05:09.203933,440904,python,109.8,3.43125,32,13.98,0.46,110,2025-07-28T17:05:09.304576,37.0,"[22.2, 37.5, 44.4, 30.0, 25.0, 70.0, 40.0, 50.0, 0.0, 100.0, 30.0, 70.0, 30.0, 80.0, 40.0, 63.6, 44.4, 37.5, 33.3, 50.0, 33.3, 33.3, 40.0, 55.6, 54.5, 33.3, 33.3, 50.0, 44.4, 44.4, 50.0, 44.4]",32,4.53759765625
2025-07-28T17:05:09.805073,440904,python,106.5,3.328125,32,14.6,0.48,110,2025-07-28T17:05:09.906044,35.1,"[30.0, 33.3, 33.3, 55.6, 10.0, 90.0, 0.0, 100.0, 11.1, 77.8, 22.2, 50.0, 40.0, 50.0, 0.0, 100.0, 44.4, 40.0, 44.4, 40.0, 40.0, 45.5, 40.0, 44.4, 44.4, 60.0, 40.0, 33.3, 44.4, 50.0, 44.4, 40.0]",32,4.53759765625
2025-07-28T17:05:10.406378,440904,python,104.8,3.275,32,15.2,0.51,110,2025-07-28T17:05:10.507486,44.0,"[0.0, 72.7, 20.0, 40.0, 33.3, 36.4, 33.3, 45.5, 45.5, 20.0, 9.1, 72.7, 27.3, 60.0, 55.6, 40.0, 40.0, 36.4, 22.2, 22.2, 40.0, 30.0, 27.3, 33.3, 33.3, 30.0, 33.3, 33.3, 40.0, 40.0, 30.0, 33.3]",32,4.53759765625
2025-07-28T17:05:11.008084,440904,python,103.0,3.21875,32,15.81,0.52,110,2025-07-28T17:05:11.109529,43.3,"[22.2, 10.0, 10.0, 100.0, 10.0, 20.0, 30.0, 0.0, 0.0, 40.0, 22.2, 20.0, 9.1, 50.0, 0.0, 45.5, 11.1, 0.0, 20.0, 11.1, 11.1, 10.0, 18.2, 20.0, 20.0, 11.1, 11.1, 20.0, 20.0, 11.1, 10.0, 20.0]",32,4.53759765625
