process_timestamp,process_pid,process_process_name,process_cpu_percent,process_cpu_percent_per_core,process_logical_cpu_count,process_cpu_times_user,process_cpu_times_system,process_num_threads,system_timestamp,system_cpu_percent,system_cpu_percent_per_core,system_cpu_count,system_load_avg_1m
2025-07-28T17:41:54.784823,2926767,pt_main_thread,0.0,0.0,32,5.52,2.21,66,2025-07-28T17:41:54.887479,0.0,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 10.0, 0.0, 0.0, 0.0, 90.9, 0.0, 10.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 9.1, 0.0, 0.0, 0.0, 0.0, 10.0, 0.0, 0.0, 0.0, 0.0]",32,0.9638671875
2025-07-28T17:41:55.388232,2926767,pt_main_thread,369.1,11.534375,32,7.56,2.4,96,2025-07-28T17:41:55.488969,12.7,"[11.1, 0.0, 33.3, 40.0, 30.0, 0.0, 22.2, 0.0, 66.7, 0.0, 55.6, 0.0, 0.0, 100.0, 62.5, 0.0, 33.3, 0.0, 10.0, 20.0, 10.0, 18.2, 18.2, 18.2, 0.0, 10.0, 0.0, 0.0, 10.0, 10.0, 16.7, 0.0]",32,0.9638671875
2025-07-28T17:41:55.998521,2926767,pt_main_thread,537.9,16.809375,32,10.45,2.76,96,2025-07-28T17:41:56.099129,17.9,"[11.1, 11.1, 45.5, 0.0, 44.4, 0.0, 40.0, 20.0, 55.6, 20.0, 50.0, 10.0, 70.0, 0.0, 80.0, 0.0, 20.0, 18.2, 10.0, 10.0, 16.7, 10.0, 18.2, 18.2, 0.0, 9.1, 18.2, 10.0, 0.0, 0.0, 10.0, 0.0]",32,0.9638671875
2025-07-28T17:41:56.599448,2926767,pt_main_thread,528.8,16.525,32,13.28,3.14,96,2025-07-28T17:41:56.700212,18.4,"[27.3, 10.0, 22.2, 0.0, 40.0, 18.2, 22.2, 72.7, 55.6, 0.0, 40.0, 20.0, 11.1, 63.6, 60.0, 0.0, 20.0, 10.0, 11.1, 0.0, 0.0, 0.0, 0.0, 16.7, 10.0, 10.0, 0.0, 18.2, 10.0, 0.0, 0.0, 0.0]",32,0.9638671875
2025-07-28T17:41:57.202778,2926767,pt_main_thread,541.1,16.909375,32,16.14,3.55,96,2025-07-28T17:41:57.303819,18.1,"[20.0, 10.0, 40.0, 0.0, 20.0, 54.5, 40.0, 0.0, 0.0, 70.0, 54.5, 0.0, 50.0, 0.0, 50.0, 30.0, 10.0, 10.0, 10.0, 0.0, 10.0, 0.0, 0.0, 9.1, 0.0, 10.0, 0.0, 10.0, 9.1, 0.0, 9.1, 18.2]",32,0.9638671875
2025-07-28T17:41:57.804168,2926767,pt_main_thread,529.7,16.553125,32,18.99,3.88,96,2025-07-28T17:41:57.906036,20.0,"[20.0, 0.0, 11.1, 0.0, 54.5, 0.0, 30.0, 40.0, 11.1, 60.0, 50.0, 0.0, 30.0, 45.5, 22.2, 60.0, 20.0, 11.1, 10.0, 10.0, 0.0, 0.0, 10.0, 0.0, 0.0, 0.0, 0.0, 0.0, 10.0, 0.0, 0.0, 0.0]",32,0.9638671875
2025-07-28T17:41:58.406415,2926767,pt_main_thread,538.0,16.8125,32,21.93,4.18,106,2025-07-28T17:41:58.506931,17.6,"[10.0, 80.0, 18.2, 20.0, 20.0, 0.0, 40.0, 0.0, 11.1, 70.0, 10.0, 70.0, 30.0, 70.0, 33.3, 0.0, 20.0, 0.0, 10.0, 10.0, 0.0, 0.0, 0.0, 0.0, 0.0, 9.1, 0.0, 0.0, 16.7, 10.0, 0.0, 0.0]",32,0.9638671875
2025-07-28T17:41:59.007300,2926767,pt_main_thread,532.5,16.640625,32,24.82,4.49,96,2025-07-28T17:41:59.107894,18.0,"[36.4, 10.0, 20.0, 36.4, 0.0, 77.8, 33.3, 30.0, 40.0, 0.0, 20.0, 60.0, 10.0, 88.9, 40.0, 20.0, 11.1, 10.0, 0.0, 0.0, 0.0, 10.0, 9.1, 10.0, 0.0, 10.0, 0.0, 0.0, 10.0, 0.0, 0.0, 0.0]",32,0.9638671875
2025-07-28T17:41:59.608663,2926767,pt_main_thread,534.2,16.69375,32,27.71,4.81,115,2025-07-28T17:41:59.709701,18.4,"[11.1, 10.0, 36.4, 0.0, 30.0, 22.2, 44.4, 0.0, 50.0, 10.0, 60.0, 0.0, 40.0, 0.0, 22.2, 70.0, 10.0, 20.0, 10.0, 20.0, 20.0, 11.1, 9.1, 10.0, 10.0, 0.0, 9.1, 0.0, 0.0, 0.0, 0.0, 10.0]",32,1.287109375
2025-07-28T17:42:00.210090,2926767,pt_main_thread,535.0,16.71875,32,30.61,5.13,96,2025-07-28T17:42:00.311913,19.0,"[11.1, 30.0, 22.2, 30.0, 30.0, 10.0, 30.0, 0.0, 20.0, 36.4, 45.5, 20.0, 33.3, 40.0, 18.2, 45.5, 10.0, 0.0, 10.0, 10.0, 0.0, 18.2, 11.1, 18.2, 10.0, 10.0, 10.0, 0.0, 11.1, 0.0, 0.0, 0.0]",32,1.287109375
