process_timestamp,process_pid,process_process_name,process_cpu_percent,process_cpu_percent_per_core,process_logical_cpu_count,process_cpu_times_user,process_cpu_times_system,process_num_threads,system_timestamp,system_cpu_percent,system_cpu_percent_per_core,system_cpu_count,system_load_avg_1m
2025-07-28T17:06:47.109332,1414813,python,1961.1,0.0,32,7.42,0.18,110,2025-07-28T17:06:47.210694,0.0,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 100.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",32,5.4638671875
2025-07-28T17:06:47.711409,1414813,python,114.1,3.565625,32,8.04,0.2,110,2025-07-28T17:06:47.813741,33.0,"[33.3, 40.0, 33.3, 54.5, 27.3, 60.0, 18.2, 80.0, 36.4, 40.0, 10.0, 90.0, 66.7, 30.0, 0.0, 100.0, 45.5, 50.0, 45.5, 36.4, 40.0, 50.0, 40.0, 50.0, 45.5, 45.5, 36.4, 40.0, 45.5, 40.0, 54.5, 70.0]",32,5.4638671875
2025-07-28T17:06:48.315320,1414813,python,106.0,3.3125,32,8.66,0.22,110,2025-07-28T17:06:48.416474,38.7,"[20.0, 60.0, 18.2, 90.0, 10.0, 90.0, 44.4, 33.3, 30.0, 54.5, 40.0, 50.0, 0.0, 100.0, 0.0, 100.0, 45.5, 44.4, 40.0, 45.5, 33.3, 40.0, 40.0, 50.0, 45.5, 40.0, 50.0, 54.5, 50.0, 50.0, 40.0, 45.5]",32,5.4638671875
2025-07-28T17:06:48.917192,1414813,python,106.4,3.325,32,9.28,0.24,110,2025-07-28T17:06:49.018506,34.7,"[40.0, 20.0, 40.0, 30.0, 33.3, 22.2, 0.0, 81.8, 9.1, 90.0, 30.0, 66.7, 40.0, 44.4, 9.1, 90.0, 40.0, 33.3, 40.0, 40.0, 40.0, 33.3, 33.3, 36.4, 30.0, 22.2, 54.5, 33.3, 40.0, 40.0, 30.0, 12.5]",32,5.4638671875
2025-07-28T17:06:49.519420,1414813,python,104.6,3.26875,32,9.9,0.25,110,2025-07-28T17:06:49.623785,34.9,"[0.0, 18.2, 0.0, 20.0, 9.1, 20.0, 0.0, 0.0, 10.0, 0.0, 0.0, 20.0, 72.7, 22.2, 10.0, 0.0, 18.2, 9.1, 9.1, 10.0, 9.1, 10.0, 10.0, 10.0, 10.0, 10.0, 18.2, 0.0, 10.0, 10.0, 20.0, 10.0]",32,6.2275390625
2025-07-28T17:06:50.124312,1414813,python,105.8,3.30625,32,10.52,0.27,110,2025-07-28T17:06:50.225709,31.9,"[30.0, 44.4, 33.3, 30.0, 81.8, 18.2, 54.5, 30.0, 20.0, 77.8, 0.0, 100.0, 40.0, 60.0, 18.2, 90.9, 44.4, 40.0, 25.0, 40.0, 40.0, 40.0, 40.0, 54.5, 30.0, 45.5, 40.0, 44.4, 44.4, 44.4, 54.5, 40.0]",32,6.2275390625
2025-07-28T17:06:50.726386,1414813,python,104.6,3.26875,32,11.13,0.29,110,2025-07-28T17:06:50.827252,43.6,"[22.2, 36.4, 33.3, 63.6, 30.0, 70.0, 33.3, 44.4, 20.0, 72.7, 0.0, 100.0, 27.3, 70.0, 18.2, 80.0, 50.0, 40.0, 55.6, 50.0, 50.0, 44.4, 54.5, 50.0, 44.4, 40.0, 54.5, 50.0, 60.0, 55.6, 40.0, 55.6]",32,6.2275390625
2025-07-28T17:06:51.327885,1414813,python,108.1,3.378125,32,11.75,0.32,110,2025-07-28T17:06:51.430141,40.5,"[11.1, 54.5, 30.0, 36.4, 18.2, 50.0, 27.3, 33.3, 0.0, 80.0, 30.0, 60.0, 80.0, 0.0, 45.5, 40.0, 36.4, 33.3, 30.0, 20.0, 30.0, 30.0, 30.0, 40.0, 36.4, 40.0, 40.0, 41.7, 40.0, 27.3, 30.0, 30.0]",32,6.2275390625
2025-07-28T17:06:51.930619,1414813,python,107.8,3.36875,32,12.37,0.35,110,2025-07-28T17:06:52.031396,41.1,"[50.0, 33.3, 44.4, 20.0, 40.0, 50.0, 50.0, 45.5, 0.0, 100.0, 10.0, 88.9, 0.0, 100.0, 0.0, 100.0, 40.0, 37.5, 45.5, 50.0, 50.0, 33.3, 50.0, 50.0, 50.0, 37.5, 36.4, 44.4, 55.6, 40.0, 50.0, 33.3]",32,6.2275390625
2025-07-28T17:06:52.532162,1414813,python,104.8,3.275,32,12.98,0.37,110,2025-07-28T17:06:52.632975,34.5,"[20.0, 54.5, 30.0, 45.5, 20.0, 72.7, 30.0, 40.0, 0.0, 100.0, 18.2, 72.7, 36.4, 70.0, 11.1, 80.0, 33.3, 45.5, 40.0, 30.0, 40.0, 40.0, 40.0, 40.0, 50.0, 30.0, 40.0, 45.5, 40.0, 45.5, 36.4, 40.0]",32,6.2275390625
2025-07-28T17:06:53.133975,1414813,python,106.3,3.321875,32,13.6,0.39,110,2025-07-28T17:06:53.235550,43.3,"[20.0, 40.0, 10.0, 40.0, 10.0, 54.5, 44.4, 20.0, 27.3, 45.5, 0.0, 58.3, 30.0, 22.2, 20.0, 70.0, 36.4, 22.2, 22.2, 22.2, 30.0, 27.3, 20.0, 20.0, 22.2, 30.0, 30.0, 30.0, 40.0, 20.0, 27.3, 20.0]",32,6.2275390625
2025-07-28T17:06:53.736032,1414813,python,106.3,3.321875,32,14.22,0.41,110,2025-07-28T17:06:53.837527,35.3,"[33.3, 30.0, 36.4, 40.0, 44.4, 45.5, 10.0, 90.0, 54.5, 22.2, 11.1, 88.9, 0.0, 100.0, 55.6, 33.3, 40.0, 36.4, 30.0, 40.0, 36.4, 36.4, 33.3, 40.0, 33.3, 33.3, 30.0, 40.0, 40.0, 33.3, 30.0, 40.0]",32,6.2275390625
2025-07-28T17:06:54.338119,1414813,python,106.3,3.321875,32,14.84,0.43,110,2025-07-28T17:06:54.439571,37.0,"[22.2, 40.0, 40.0, 20.0, 18.2, 88.9, 20.0, 70.0, 30.0, 33.3, 77.8, 0.0, 0.0, 80.0, 0.0, 88.9, 45.5, 30.0, 33.3, 40.0, 22.2, 40.0, 33.3, 33.3, 30.0, 30.0, 22.2, 40.0, 40.0, 30.0, 40.0, 30.0]",32,6.048828125
2025-07-28T17:06:54.940692,1414813,python,106.2,3.31875,32,15.46,0.45,110,2025-07-28T17:06:55.044570,38.6,"[27.3, 54.5, 36.4, 45.5, 30.0, 33.3, 20.0, 70.0, 30.0, 70.0, 72.7, 20.0, 36.4, 50.0, 0.0, 90.9, 33.3, 30.0, 33.3, 45.5, 33.3, 36.4, 30.0, 40.0, 40.0, 40.0, 36.4, 45.5, 33.3, 45.5, 22.2, 45.5]",32,6.048828125
2025-07-28T17:06:55.545386,1414813,python,105.8,3.30625,32,16.08,0.47,110,2025-07-28T17:06:55.647526,40.5,"[18.2, 20.0, 10.0, 40.0, 45.5, 0.0, 0.0, 55.6, 11.1, 30.0, 30.0, 10.0, 0.0, 80.0, 20.0, 40.0, 20.0, 45.5, 11.1, 11.1, 10.0, 20.0, 10.0, 27.3, 20.0, 20.0, 11.1, 27.3, 11.1, 20.0, 10.0, 20.0]",32,6.048828125
2025-07-28T17:06:56.148072,1414813,python,102.9,3.215625,32,16.69,0.48,110,2025-07-28T17:06:56.249187,23.1,"[20.0, 20.0, 11.1, 40.0, 18.2, 40.0, 11.1, 40.0, 0.0, 50.0, 20.0, 27.3, 0.0, 91.7, 0.0, 60.0, 33.3, 20.0, 22.2, 20.0, 22.2, 22.2, 27.3, 11.1, 25.0, 22.2, 30.0, 36.4, 22.2, 22.2, 27.3, 22.2]",32,6.048828125
