Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	EpLen	AverageEpsilon	StdEpsilon	MaxEpsilon	MinEpsilon	QVals	QTargets	LossQ	DeltaLossQ	StopIter
1	-2599.2965494791665	924.482828396504	-1304.1248	-3401.4795	297.3333333333333	0.5559999961552657	0.25663202716410327	1.0	0.112	-0.3974234513410433	-0.28945302963256836	0.0015407521277666092	0.043753808736801146	79.0
2	-2433.5403645833335	328.10576927773354	-2083.4539	-2872.3252	258.0	0.46556813676688147	0.38197781933088126	1.0	0.01	-0.32071186070621555	-0.22569515705108642	0.00012877484550699592	3.498711448628456e-05	79.0
3	-1726.4055989583333	110.91845493800089	-1601.8074	-1871.2324	258.0	0.19735796937064284	0.1789793178330636	0.547	0.01	-0.26528137048704	-31.38380126953125	31029.8375	74.8553955078125	79.0
4	-1432.2662760416667	44.84414198434953	-1381.3966	-1490.499	258.0	0.523813210572714	0.3473692639122356	1.0	0.01	-0.2235054778063189	-0.6647289276123047	1.8407943725585938	3.2737903594970703	79.0
5	-1277.8580729166667	35.053702290497554	-1240.5126	-1324.7643	258.0	0.4169053450014186	0.3425003111533605	1.0	0.01	-0.07551586581575268	-0.4619894981384277	0.0363126277923584	0.011583317816257478	79.0
6	-1196.99658203125	17.365599506609563	-1177.7638	-1219.8387	258.0	0.3617717183826808	0.22130649944290434	0.746	0.01	0.28688836994492745	-0.43363304138183595	0.015228328108787537	0.008129707723855972	79.0
7	-1130.5626627604167	27.867469671382377	-1094.7954	-1162.7788	258.0	0.6149999715010943	0.22256834713424875	1.0	0.23	-0.48905254121575065	-0.4088618278503418	0.0045846495777368546	0.0037412822246551515	79.0
8	-1056.2159830729167	13.540070018051974	-1039.2314	-1072.3662	258.0	0.5290065028169585	0.3285909504671087	1.0	0.01	-0.46253276582512565	-0.4011391162872314	0.0025047119706869125	0.0007511463016271591	79.0
9	-1109.6703287760417	128.14642097356185	-1010.9454	-1290.647	333.3333333333333	0.48614942728576355	0.30054676528160923	1.0	0.01	-0.422709473635751	-13.78385009765625	7868.365625	303.937353515625	79.0
10	-2807.8427734375	544.7293479334485	-2046.282	-3289.1907	258.0	0.5973449786194877	0.24020691974280808	1.0	0.189	-0.4196179658367785	-0.2089230537414551	16.411103820800783	246.912060546875	79.0
11	-2416.8583984375	243.26672176166363	-2128.2217	-2723.3022	258.0	0.6358910151183528	0.19982257052910163	1.0	0.289	-0.41865406951706385	-0.4890132427215576	0.0006624212954193353	2.5043991627171634e-07	79.0
12	-1822.8268229166667	66.37575034886612	-1758.4106	-1914.1664	258.0	0.485474741103275	0.3508841204084724	1.0	0.01	5.559975630269131	-0.4888161659240723	0.000661887414753437	2.704502549022436e-07	79.0
13	-1634.994140625	62.819153876425304	-1562.1075	-1715.4264	258.0	0.4323541267681988	0.304451200345558	1.0	0.01	8.968319349870299	-0.48860554695129393	0.0006613172590732574	2.8866779757663605e-07	79.0
14	-1445.0859375	40.847746712130075	-1400.0574	-1498.9392	258.0	0.4340000177326524	0.2225683360191759	0.819	0.049	-0.5148481673303745	-0.48838119506835936	0.0006607098504900933	3.0570372473448514e-07	79.0
15	-1308.8636881510417	38.7583156400017	-1262.6853	-1357.5259	258.0	0.7316471797482976	0.21693689947698735	1.0	0.02	-0.514609330668369	-0.4881429672241211	0.0006600654684007168	3.251072484999895e-07	79.0
16	-1204.6183268229167	14.386132747534603	-1188.4406	-1223.3914	258.0	0.4479999863838562	0.22256834713424875	0.833	0.063	-0.5144337061623501	-0.48789052963256835	0.000659383088350296	3.4288095775991676e-07	79.0
17	-1213.341796875	10.871220776072454	-1199.8339	-1226.454	258.0	0.5859118114031088	0.27514444072361477	1.0	0.01	-0.5142312847686649	-0.48762359619140627	0.0006586618721485138	3.630069841165096e-07	79.0
18	-2077.6822916666665	995.9908801456635	-1179.4597	-3466.418	337.3333333333333	0.49336867242667554	0.2941243057684799	1.0	0.01	-0.5579001631798192	-0.4959780216217041	0.00930950790643692	0.03125791251659393	79.0
19	-3245.9423828125	274.05541372442667	-2862.2449	-3485.138	258.0	0.5474617212199051	0.3006010072431384	1.0	0.046	-0.517243342022333	-0.4868062973022461	0.0006564558483660221	4.302099114283919e-07	79.0
20	-2260.9830729166665	205.41413960582167	-2009.695	-2512.8538	258.0	0.4456977893715548	0.3211385056487485	1.0	0.01	-0.5136172520975194	-0.48649234771728517	0.0006556093227118254	4.230605554766953e-07	79.0
21	-1733.55859375	79.20937444520061	-1644.9703	-1837.2268	258.0	0.649968841196498	0.19971566280209843	1.0	0.287	-0.5133176177701443	-0.48616318702697753	0.0006547635886818171	4.7349167289212344e-07	79.0
22	-1524.7835286458333	48.57350529523957	-1473.3136	-1589.9166	258.0	0.61314785928887	0.22379717184349524	1.0	0.227	-0.5129320909077092	-24.836471557617188	18814.06875	0.255712890625	79.0
23	-1402.5205078125	38.44603987110809	-1356.096	-1450.2423	258.0	0.6355447534148022	0.20749429048808113	1.0	0.266	-0.5124525176566553	-0.7195258140563965	0.0014341920614242554	7.798820734024048e-05	79.0
24	-1301.44921875	27.4673989997688	-1265.0807	-1331.4523	258.0	0.4944085938766618	0.27369716910792635	1.0	0.074	-0.5121858153980221	-0.7220643520355224	0.0014442583546042443	6.469563231803477e-07	79.0
25	-1188.1206868489583	26.513002288774906	-1158.4597	-1222.8152	258.0	0.43999998733381973	0.22256834713424875	0.825	0.055	-0.5119252087386511	-0.7217169761657715	0.001442869007587433	6.997070158831775e-07	79.0
26	-1131.3810221354167	6.494358059486535	-1124.6385	-1140.1531	258.0	0.6000777861796773	0.2518393688032138	1.0	0.01	-0.5115940277060027	-0.7213525772094727	0.0014414126053452492	7.297727279365063e-07	79.0
27	-1104.4129231770833	12.1574984630971	-1088.0707	-1117.2107	258.0	0.5246886811213116	0.3259869190817802	1.0	0.01	-0.6516249046869933	-0.7209712028503418	0.0014398887753486634	7.646449375897646e-07	79.0
28	-2319.1298828125	976.5286307460046	-973.82635	-3262.0242	262.6666666666667	0.45726753769406847	0.31752899813485336	1.0	0.01	-0.7458268281001195	-0.7205682754516601	0.001570487767457962	0.00020529571920633317	79.0
29	-2375.3203125	260.3444633237537	-2087.6042	-2718.1343	258.0	0.35986383539538747	0.22116048309036498	0.744	0.01	-0.7602382318518969	-0.7201455116271973	0.0014365923590958119	8.368762792088091e-07	79.0
30	-1680.4207356770833	102.06443596347195	-1571.2437	-1816.7772	258.0	0.5973800085243394	0.25724747777386314	1.0	0.01	-0.7599109694187743	-0.7197096347808838	0.0014348534867167472	8.722825441509486e-07	79.0
