Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	EpLen	AverageEpsilon	StdEpsilon	MaxEpsilon	MinEpsilon	QVals	QTargets	LossQ	DeltaLossQ	StopIter
1	-31918.2890625	20486.879053026434	-2223.5042	-59175.51	270.0	0.31331782949605985	0.3287658070528117	0.999	0.01	-0.09786021103793952	-124.73472595214844	61496.89453125	126.94140625	79.0
2	-43981.135416666664	63266.406293809145	-8210.729	-185103.38	240.33333333333334	0.2168558487321009	0.3558725793656081	0.999	0.01	-0.135893627793676	-183.36898803710938	145415.5625	349.171875	79.0
3	-10678.65625	5140.986675726752	-5687.9233	-17556.625	202.33333333333334	0.4654834570474183	0.297376218226119	0.999	0.01	-0.49795360438871067	-52.52827453613281	13116.9560546875	43.541015625	79.0
4	-3609.5296223958335	2862.5946272568876	-937.2956	-8909.422	215.66666666666666	0.39128183874284256	0.32552570195634506	0.999	0.01	-0.9386898064465257	-16.983234405517578	1594.773193359375	3.62060546875	79.0
5	-2365.30810546875	1109.3655093490752	-926.83655	-3779.3206	149.66666666666666	0.2762387878691669	0.3015987090785994	0.999	0.01	-1.1487458233341508	-17.208295822143555	830.9284057617188	10.16510009765625	79.0
6	-2838.8427734375	6337.745550798538	9644.561	-9402.644	200.0	0.5081490623691374	0.30629878501391167	0.999	0.01	-1.5765047568572026	-15.611913681030273	4702.39453125	33.46142578125	79.0
7	-9039.669921875	9809.40827301355	4269.67	-22025.146	276.3333333333333	0.4573153664355705	0.27572589469406067	0.999	0.01	-2.969211384401483	-25.37444496154785	9830.2958984375	160.193359375	79.0
8	-27143.947916666668	13708.613350736829	-9154.531	-45423.074	226.0	0.1998385281032986	0.33657103738333627	0.999	0.01	-7.85111400462963	-125.56462860107422	59501.4375	3494.48828125	79.0
9	-21404.704427083332	26994.750304457346	690.30383	-79423.04	250.66666666666666	0.3993370962715913	0.32379350377187677	0.999	0.01	-7.963062729472631	-78.11829376220703	39303.25	1410.265625	79.0
10	-10279.434895833334	4067.1272416780866	-4111.759	-17570.338	209.66666666666666	0.2988098924533247	0.32440206442923647	0.999	0.01	-16.665433743510384	-44.025596618652344	9585.248046875	711.55078125	79.0
11	-17644.115885416668	27424.074679011504	-247.92119	-77103.234	238.66666666666666	0.5211542886570828	0.25006864442625365	0.999	0.01	-34.96201678646564	-71.55326080322266	29835.90625	3964.8984375	79.0
12	-2607.0338541666665	838.3279986576456	-1213.5818	-3605.316	152.33333333333334	0.07161343780383139	0.09971750517086671	0.344	0.01	-37.79333442318282	-16.329021453857422	614.1617431640625	1.42059326171875	79.0
13	-3866.9345703125	2320.1734130591763	-731.5399	-6987.913	147.33333333333334	0.513732319269202	0.3209856311470341	0.999	0.01	-73.18923957146924	-24.735750198364258	1962.4854736328125	101.0999755859375	79.0
14	-6579.399739583333	4552.404053537721	-1397.139	-15082.18	143.33333333333334	0.4848302622310451	0.33391209162910407	0.999	0.01	-110.49302912763466	-52.56037902832031	6748.7529296875	1151.74951171875	79.0
15	-7919.501953125	3659.670294803436	-3891.539	-15101.215	133.66666666666666	0.3292047701888348	0.3115595636488849	0.999	0.01	-123.61620603015075	-48.40550231933594	4999.96435546875	347.13427734375	79.0
16	-9764.293619791666	2567.4861895117047	-5830.8286	-13415.835	151.66666666666666	0.4883849557522124	0.26920061036202636	0.999	0.032	-147.95106816924778	-63.69527816772461	8000.33740234375	777.00048828125	79.0
17	-2792.2333984375	1901.7730323744383	-884.9503	-5442.0415	152.0	0.47749998922116443	0.2615395105923946	0.93	0.025	-80.21961230684327	-21.237703323364258	1429.0826416015625	63.608154296875	79.0
18	-2268.0511067708335	1546.156201682094	-1051.7938	-5649.117	163.66666666666666	0.5052171926029393	0.2918201715589869	0.999	0.01	-122.18199282786885	-10.60241413116455	926.8561401367188	238.39703369140625	79.0
19	-4316.0869140625	3199.561428279403	-1069.4207	-8700.8545	147.33333333333334	0.5177414531316735	0.31387785848908756	0.999	0.01	-121.37459068906605	-29.91838836669922	2148.5927734375	48.571533203125	79.0
20	-2442.2093098958335	1319.709374572043	-859.3946	-4323.7334	163.33333333333334	0.42011907996583037	0.35129771686967093	0.999	0.01	-134.13316542607802	-16.291378021240234	646.5709228515625	38.32220458984375	79.0
21	-2027.63671875	884.2032666003144	-855.0249	-3334.9773	153.33333333333334	0.542995661562329	0.26341605915585525	0.999	0.087	-139.34407480853392	-11.109148025512695	633.46875	148.72198486328125	79.0
22	-2397.55859375	1104.5673361094832	-1027.8182	-4267.1475	146.33333333333334	0.48444380453967173	0.3058089081847527	0.999	0.01	-118.53187715022936	-14.857328414916992	671.4134521484375	41.26116943359375	79.0
23	-2799.591796875	742.5245506603356	-1290.2406	-3499.9512	170.66666666666666	0.4259391140141515	0.31378407646125733	0.999	0.01	-80.62184583742632	-15.880478858947754	568.8737182617188	13.9942626953125	79.0
24	-2615.7018229166665	488.1390896387354	-1908.116	-3539.9368	163.66666666666666	0.30360656488137167	0.2513107738538316	0.999	0.01	-66.20274478099385	-16.032695770263672	406.6871032714844	16.036285400390625	79.0
25	-1473.0657552083333	929.202659990453	-500.7254	-2949.1145	157.33333333333334	0.5255000067672242	0.2707771158249809	0.994	0.057	-80.46703424840085	-7.192645072937012	1001.6439819335938	56.61260986328125	79.0
26	-4743.742513020833	2684.835562934907	-2159.3088	-8958.144	168.66666666666666	0.49516897030900536	0.2924726841049551	0.999	0.01	-95.37366426441352	-31.800777435302734	2419.92578125	126.622802734375	79.0
27	-3197.4072265625	1996.954848429645	-890.4766	-6014.0205	166.66666666666666	0.48106642172370156	0.3156157307202533	0.999	0.01	-62.898024867957744	-13.247505187988281	850.6397705078125	19.28570556640625	79.0
28	-3049.19921875	1609.9208055056622	-1592.967	-5798.5986	160.66666666666666	0.43525679873026485	0.3548371389217403	0.999	0.01	-67.08661436586638	-18.244943618774414	794.6754150390625	23.17156982421875	79.0
29	-1088.3821614583333	955.7907720835141	366.93423	-2425.78	134.66666666666666	0.39677676536198564	0.33828204808593576	0.999	0.01	-82.27796719139651	-8.632323265075684	524.197021484375	46.35858154296875	79.0
30	-2131.2626953125	1088.3987473960697	-798.56006	-3920.0874	157.0	0.3931378421620426	0.28498502002403586	0.999	0.01	-73.3549095219017	-13.944175720214844	573.0205688476562	17.0361328125	79.0
31	-2637.38037109375	1358.1801549622692	-1376.6951	-4645.2583	172.66666666666666	0.414201932740443	0.2872460650814401	0.922	0.01	-103.42261832524272	-13.293296813964844	530.4326782226562	19.34832763671875	79.0
