Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	AverageEpLen	StdEpLen	MaxEpLen	MinEpLen	AverageVVals	StdVVals	MaxVVals	MinVVals	LossPi	LossV	DeltaLossPi	DeltaLossV	Entropy	KL	ClipFrac	StopIter
1	-7707.9328125	3791.852739756648	-952.1329	-12298.403	142.6	21.331667517156273	163.0	103.0	-0.408101572155279	0.004841483039121192	-0.3825893	-0.46671933	-1.215665292875201e-07	16158371.0	-0.0015020233113318682	-595.0	0.6719560623168945	0.017213983461260796	0.0	18.0
2	-10420.80703125	4047.9264815458296	-5064.925	-16662.17	152.2	25.94147277556972	181.0	117.0	-0.4643678211030506	0.044069135227070504	-0.3943872	-0.59659874	-0.0013481687055900693	25289240.0	-0.009729641489684582	-1348.0	0.6858424544334412	-0.004960317630320787	0.0	39.0
3	-6069.046484375	2002.4682769022834	-3460.4011	-8660.934	135.0	16.34625339336204	155.0	121.0	-0.577060255363806	0.06818584613988035	-0.47811854	-0.869847	-0.0016600869130343199	9520786.0	0.0023562414571642876	-1019.0	0.676462709903717	-0.007742537185549736	0.0	39.0
4	-9912.24375	1914.5748353093957	-7506.542	-13183.739	164.2	12.81249428353531	179.0	143.0	-0.7622216916551777	0.12134093427789432	-0.5813422	-1.6175008	0.0031858982983976603	19893580.0	0.0006106335204094648	-4036.0	0.6736833453178406	-0.003599877469241619	0.0	39.0
5	-3960.39453125	2776.4032848273323	-525.5132	-7777.11	115.8	11.634432077485561	135.0	103.0	-0.8550417697388121	0.12915077736305947	-0.6804248	-1.5290405	-0.0015154695138335228	5752639.0	0.0	-2098.5	0.6720223426818848	0.0022865852806717157	0.0	39.0
6	-6354.35234375	3607.37965842244	-1449.0472	-11583.368	151.0	26.04611295375953	177.0	107.0	-1.4927102864583333	0.3051165182040946	-0.8553675	-2.892929	-4.9114227351765294e-08	11871461.0	0.009476765990257263	-6788.0	0.6719560027122498	0.015916666015982628	0.0	31.0
7	-4925.5140625	3284.0484771087044	-2486.1257	-11432.085	129.8	20.497803807664372	169.0	113.0	-2.5537844829677794	0.8671222513013723	-1.3943208	-6.2382607	0.005066837649792433	8944246.0	-0.009338779374957085	-9094.0	0.6841803193092346	0.00611413037404418	0.004658385179936886	39.0
8	-4705.353125	1678.4993297585793	-1978.6901	-6958.451	134.6	23.09632089884664	173.0	111.0	-3.941560482550524	1.3236853825015726	-2.109179	-12.760708	-0.0024472211953252554	6047409.5	-0.010553015395998955	-11963.5	0.6845579147338867	-0.004771706648170948	0.02994011901319027	39.0
9	-5571.35625	2874.5305007948687	-2059.807	-10619.748	137.8	24.677114112827294	171.0	105.0	-6.370155022158261	2.258319744109475	-2.9310825	-12.451417	0.00043000656296499074	9184431.0	-0.004012325778603554	-26291.0	0.6725181937217712	-0.005391081795096397	0.03801169618964195	39.0
10	-5411.00390625	2308.7192986588907	-1324.7454	-7826.331	137.0	20.27806696901852	163.0	105.0	-10.739857393152574	3.146846545558896	-4.580984	-17.22477	0.0003860178985632956	7851692.5	0.0006829777848906815	-34503.0	0.6652501821517944	-0.0011948529863730073	0.008823529817163944	39.0
11	-5781.48515625	3351.820162240212	-3572.3542	-12274.407	130.6	19.365949877257183	159.0	107.0	-17.64113437982253	5.595243438130681	-8.872359	-47.601414	0.004501174669712782	10285541.0	-0.004042880609631538	-68530.0	0.6660937666893005	0.009259259328246117	0.007716049440205097	39.0
12	-5289.877734375	2749.872724327437	-1266.9993	-8032.8496	137.8	25.253910781612124	181.0	105.0	-27.31323670504386	10.585233136052821	-5.297072	-65.596855	-0.0022733851801604033	8121384.5	0.003328507300466299	-78402.0	0.6740103363990784	0.004477339331060648	0.0760233923792839	39.0
13	-5978.012890625	2079.1729124822687	-2206.1138	-7941.6934	131.4	19.571407466873072	159.0	105.0	-43.62692316909509	13.181082707211718	-19.10143	-109.01653	-0.0023007106501609087	9152972.0	0.002007213653996587	-118820.0	0.660995364189148	-0.006422546226531267	0.07208588719367981	39.0
14	-5959.230859375	2518.0813330788187	-2416.2615	-9301.328	153.8	11.771151071946777	169.0	139.0	-60.47688461223822	21.674081032711985	-15.883142	-165.87997	-0.002819914137944579	8621835.0	0.014862113632261753	-140754.0	0.670271635055542	0.008098822087049484	0.052356019616127014	39.0
15	-7302.9046875	3151.54133718725	-3518.4326	-12565.54	143.0	24.099792530227308	177.0	105.0	-96.06859595070422	32.58750543633833	-27.08095	-282.21918	0.0009250763687305152	13433966.0	-0.009753185324370861	-272606.0	0.6776744723320007	-0.009066901169717312	0.02957746386528015	39.0
16	-5193.75625	1690.8958572307165	-2672.6143	-7249.94	122.6	17.590907158200725	153.0	101.0	-135.4928556743421	38.19803186236033	-71.41005	-316.87735	-0.002942537423223257	6580474.5	0.0008415775373578072	-189498.5	0.6609787940979004	-0.007606907747685909	0.0016447368543595076	39.0
17	-5665.17421875	3432.430509129063	-863.0634	-11558.954	132.2	23.34437854742818	175.0	105.0	-163.0605587842988	51.95266922824105	-34.894337	-357.1631	0.004492884501814842	9606362.0	-0.014198355376720428	-255947.0	0.6711001396179199	0.0008574695093557239	0.024390242993831635	39.0
18	-6487.209765625	5153.363328933833	-2113.5122	-16497.53	130.6	24.99279779068862	179.0	109.0	-224.4154610339506	69.6907576191482	-52.509144	-532.25543	-0.003048122161999345	14337952.0	-0.007094389759004116	-495608.0	0.6752352118492126	0.011670524254441261	0.11419752985239029	39.0
19	-6140.023828125	3140.589753533562	-1188.2635	-9835.872	135.4	13.410443327286947	151.0	113.0	-262.55975632440476	92.44516553585905	-17.576056	-881.7428	-0.0011753730941563845	9062594.0	0.00503219198435545	-357931.0	0.6703330278396606	0.011997767724096775	0.2485119104385376	39.0
20	-8246.6640625	1592.5490259329538	-6648.587	-10785.831	142.2	16.326665604636638	165.0	127.0	-390.63097556657226	110.95705215125498	-126.31155	-676.3417	-0.001152194570749998	12329233.0	0.0008140778518281877	-669727.0	0.6591404676437378	0.0019475920125842094	0.00283286115154624	39.0
21	-6864.15703125	2600.656532493286	-3989.8518	-10315.66	147.8	18.70187182518437	175.0	123.0	-446.33600136239784	171.72121123181313	-125.37103	-916.9223	-0.005369133315980434	9391513.0	0.00032780971378088	-505987.0	0.6709691286087036	-0.002980245277285576	0.024523161351680756	39.0
