Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	AverageEpLen	StdEpLen	MaxEpLen	MinEpLen	AverageVVals	StdVVals	MaxVVals	MinVVals	LossPi	LossV	DeltaLossPi	DeltaLossV	Entropy	KL	ClipFrac	StopIter
1	2969.2666015625	1468.4822096300657	4777.9336	774.1486	501.0	0.0	501.0	501.0	-0.1104063232421875	0.016221955381373224	-0.0825397	-0.16802733	-3.776550272505119e-08	442290.6875	0.0001769069640431553	-41.6875	1.6043517589569092	-0.009925000369548798	0.10080000013113022	39.0
2	2579.7166015625	1468.6787259302153	4770.662	796.38055	501.0	0.0	501.0	501.0	-0.07860443725585937	0.01859054473690341	-0.066076785	-0.16802733	0.0008010637247934937	357642.6875	-0.004722314886748791	-47.40625	1.586222529411316	0.008174999617040157	0.13519999384880066	39.0
3	4379.05234375	3021.49115504249	9802.403	753.11066	501.0	0.0	501.0	501.0	-0.01843863525390625	0.02849022306087816	0.037406404	-0.07549575	1.542339305160567e-05	911169.3125	-0.0032629533670842648	-447.25	1.5877113342285156	0.004800000227987766	0.15479999780654907	39.0
4	2576.997265625	1326.0967536345152	4766.9766	763.6288	501.0	0.0	501.0	501.0	0.26964541015625	0.15271193988838153	0.4727286	-0.046801798	-0.0003240692021790892	372025.6875	-0.0019126766128465533	-561.5	1.5752170085906982	0.0007249999907799065	0.16519999504089355	39.0
5	5743.296875	4492.289928310505	14603.831	2769.3103	601.0	199.50037593949543	1000.0	501.0	0.9514076334635416	0.30584071622524667	1.3307722	0.23881891	-0.0007220859406515956	1163087.375	-0.006463983561843634	-3604.5	1.5591373443603516	0.0008125000167638063	0.09200000017881393	39.0
6	5168.105078125	1638.065566453309	6783.8423	2753.3745	501.0	0.0	501.0	501.0	2.815737109375	1.0693839950673705	4.093787	0.6761994	-0.0011818462517112494	1027105.8125	-0.004806235432624817	-7919.125	1.5491752624511719	0.0019249999895691872	0.10279999673366547	39.0
7	6180.708203125	2950.7062205512766	9798.839	762.07825	501.0	0.0	501.0	501.0	7.4107390625	2.3620443509013542	10.530191	2.0184433	-0.00032915230258367956	1597561.0	-0.0015601890627294779	-20444.875	1.5460054874420166	-0.0017999999690800905	0.16359999775886536	39.0
8	7587.4703125	1605.4667857043944	9795.517	4778.3574	501.0	0.0	501.0	501.0	16.792825	5.113205177528084	24.848476	4.7665315	-0.0012590197147801518	1973647.75	-0.003031982108950615	-45266.5	1.5261802673339844	0.015150000341236591	0.1995999962091446	14.0
9	8392.9328125	1953.8535257280676	11783.172	5800.6216	501.0	0.0	501.0	501.0	36.51290625	8.940106263350565	50.0605	10.3943815	3.262710743001662e-05	2351461.5	-0.008175780065357685	-78634.25	1.5176604986190796	-0.012749999761581421	0.16439999639987946	39.0
10	11535.1453125	4221.110943815621	19552.588	7790.4175	601.0	200.0	1001.0	501.0	64.57035416666666	16.557994670249172	91.82394	20.52752	0.00036628785892389715	3066608.0	-0.0028085503727197647	-139981.25	1.4917353391647339	0.005645833443850279	0.14900000393390656	39.0
11	10799.54296875	2291.1205118893245	13834.404	7803.6753	501.0	0.0	501.0	501.0	108.482925	27.766832732596637	156.92638	36.644295	0.00013471374404616654	3440795.25	-0.00224900571629405	-222550.75	1.4729185104370117	0.006550000049173832	0.1363999992609024	39.0
12	15574.965625	5307.240337501214	25615.846	9805.673	601.0	200.0	1001.0	501.0	178.105625	41.5818710497736	251.24088	61.186134	-0.0002446961298119277	5040520.0	-0.0058137960731983185	-385430.5	1.4639650583267212	0.00566666666418314	0.09799999743700027	39.0
13	2578.9435546875	4183.122661361964	10802.941	26.94528	501.0	0.0	501.0	501.0	4035.1464	2033.6199149300244	5239.243	96.22112	-0.03331024944782257	675294.75	0.0	1123.6875	1.353652834892273	1.2227250337600708	0.7991999983787537	0.0
14	11619.409375	3153.0269900525745	14794.501	6925.8096	501.0	0.0	501.0	501.0	828.0458	1475.3533976644376	5239.243	159.42068	-0.02472720853984356	3428507.75	0.0	-271113.5	1.4264888763427734	0.16522499918937683	0.10599999874830246	0.0
15	14008.24375	2039.4247228078805	16817.729	10817.841	501.0	0.0	501.0	501.0	404.358	75.52001588982884	542.701	159.42068	6.351471171228695e-08	4506855.0	-0.008475207723677158	-542682.0	1.4385203123092651	0.00647500017657876	0.10440000146627426	39.0
16	17207.5734375	3832.188513108404	23817.178	11798.405	501.0	0.0	501.0	501.0	533.5727	121.11799205733226	753.6063	205.06984	-0.0011088851606473327	6271218.0	-0.009822986088693142	-865163.5	1.4142181873321533	-0.004224999807775021	0.11159999668598175	39.0
17	20578.675	4545.807914991569	29624.385	17802.64	601.0	200.0	1001.0	501.0	749.8135	160.53613508075577	1043.968	282.2415	-0.002054165117442608	5717585.0	-0.005301184952259064	-924828.0	1.404079794883728	0.015708332881331444	0.15299999713897705	23.0
