process_timestamp,process_pid,process_process_name,process_rss,process_vms,process_uss,process_pss,process_memory_percent,process_actual_memory_bytes,process_system_total_memory,process_system_available_memory,process_system_memory_percent,system_timestamp,system_total_memory,system_available_memory,system_used_memory,system_free_memory,system_memory_percent,system_buffers,system_cached,system_shared,system_swap_total,system_swap_used,system_swap_free,system_swap_percent
2025-07-15T09:39:41.873271,43058,python,1017638912,7883882496,1017520128,1017927680,0.7555858602735613,1017638912,134757994496,126716289024,6.0,2025-07-15T09:39:41.877650,134757994496,126716289024,6667730944,121324367872,6.0,649859072,6116036608,97165312,8589930496,0,8589930496,0.0
2025-07-15T09:39:44.887302,43058,python,1028689920,7884931072,1028030464,1028438016,0.763360959657599,1028689920,134757994496,126713581568,6.0,2025-07-15T09:39:44.889992,134757994496,126713581568,6670446592,121321660416,6.0,649859072,6116028416,97165312,8589930496,0,8589930496,0.0
2025-07-15T09:39:47.897723,43058,python,1028689920,7884931072,1028243456,1028651008,0.763360959657599,1028689920,134757994496,126709743616,6.0,2025-07-15T09:39:47.897840,134757994496,126709743616,6674284544,121317806080,6.0,649863168,6116040704,97165312,8589930496,0,8589930496,0.0
2025-07-15T09:39:50.904436,43058,python,1028952064,7884931072,1028435968,1028843520,0.7635554891183411,1028952064,134757994496,126730862592,6.0,2025-07-15T09:39:50.904550,134757994496,126730862592,6653161472,121338925056,6.0,649863168,6116044800,97165312,8589930496,0,8589930496,0.0
2025-07-15T09:39:53.911218,43058,python,1028952064,7884931072,1028595712,1029003264,0.7635554891183411,1028952064,134757994496,126734426112,6.0,2025-07-15T09:39:53.911413,134757994496,126734426112,6649602048,121342476288,6.0,649871360,6116044800,97165312,8589930496,0,8589930496,0.0
2025-07-15T09:39:56.920658,43058,python,1029214208,7884931072,1028743168,1029150720,0.7637500185790833,1029214208,134757994496,126741942272,5.9,2025-07-15T09:39:56.923745,134757994496,126741942272,6642085888,121349992448,5.9,649871360,6116044800,97165312,8589930496,0,8589930496,0.0
2025-07-15T09:39:59.931295,43058,python,1029214208,7884931072,1028825088,1029232640,0.7637500185790833,1029214208,134757994496,126749966336,5.9,2025-07-15T09:39:59.933800,134757994496,126749966336,6634061824,121358008320,5.9,649879552,6116044800,97165312,8589930496,0,8589930496,0.0
2025-07-15T09:40:02.942266,43058,python,1029214208,7885979648,1028911104,1029318656,0.7637500185790833,1029214208,134757994496,126753628160,5.9,2025-07-15T09:40:02.943488,134757994496,126753628160,6630400000,121361670144,5.9,649879552,6116044800,97165312,8589930496,0,8589930496,0.0
2025-07-15T09:40:05.949558,43058,python,1029476352,7885979648,1029046272,1029453824,0.7639445480398254,1029476352,134757994496,126755606528,5.9,2025-07-15T09:40:05.950751,134757994496,126755606528,6628438016,121363656704,5.9,649887744,6116012032,97165312,8589930496,0,8589930496,0.0
2025-07-15T09:40:08.958432,43058,python,1029476352,7885979648,1029111808,1029519360,0.7639445480398254,1029476352,134757994496,126755282944,5.9,2025-07-15T09:40:08.959592,134757994496,126755282944,6628761600,121363324928,5.9,649895936,6116012032,97165312,8589930496,0,8589930496,0.0
2025-07-15T09:40:11.965456,43058,python,1029476352,7885979648,1029189632,1029597184,0.7639445480398254,1029476352,134757994496,126751989760,5.9,2025-07-15T09:40:11.965591,134757994496,126751989760,6632054784,121360031744,5.9,649895936,6116012032,97165312,8589930496,0,8589930496,0.0
2025-07-15T09:40:14.980507,43058,python,1029738496,7885979648,1029234688,1029642240,0.7641390775005675,1029738496,134757994496,126748921856,5.9,2025-07-15T09:40:14.981639,134757994496,126748921856,6635122688,121356955648,5.9,649904128,6116012032,97165312,8589930496,0,8589930496,0.0
2025-07-15T09:40:17.989513,43058,python,1029738496,7885979648,1029275648,1029683200,0.7641390775005675,1029738496,134757994496,126754390016,5.9,2025-07-15T09:40:17.991464,134757994496,126754390016,6629654528,121362423808,5.9,649904128,6116012032,97165312,8589930496,0,8589930496,0.0
2025-07-15T09:40:20.998526,43058,python,1029738496,7885979648,1029328896,1029736448,0.7641390775005675,1029738496,134757994496,126752227328,5.9,2025-07-15T09:40:21.000476,134757994496,126752227328,6631841792,121360244736,5.9,649920512,6115987456,97132544,8589930496,0,8589930496,0.0
2025-07-15T09:40:24.008266,43058,python,1029738496,7885979648,1029369856,1029777408,0.7641390775005675,1029738496,134757994496,126748897280,5.9,2025-07-15T09:40:24.010043,134757994496,126748897280,6635147264,121356902400,5.9,649920512,6116024320,97165312,8589930496,0,8589930496,0.0
2025-07-15T09:40:27.016977,43058,python,1029738496,7885979648,1029378048,1029785600,0.7641390775005675,1029738496,134757994496,126756036608,5.9,2025-07-15T09:40:27.017127,134757994496,126756036608,6628007936,121363841024,5.9,650121216,6116024320,97165312,8589930496,0,8589930496,0.0
2025-07-15T09:40:30.027205,43058,python,1030000640,7885979648,1029410816,1029818368,0.7643336069613097,1030000640,134757994496,126767206400,5.9,2025-07-15T09:40:30.029006,134757994496,126767206400,6616838144,121375006720,5.9,650121216,6116028416,97165312,8589930496,0,8589930496,0.0
2025-07-15T09:40:33.036824,43058,python,1030000640,7885979648,1029443584,1029851136,0.7643336069613097,1030000640,134757994496,126766977024,5.9,2025-07-15T09:40:33.037058,134757994496,126766977024,6617067520,121374777344,5.9,650121216,6116028416,97165312,8589930496,0,8589930496,0.0
2025-07-15T09:40:36.045625,43058,python,1030000640,7885979648,1029447680,1029855232,0.7643336069613097,1030000640,134757994496,126772506624,5.9,2025-07-15T09:40:36.048884,134757994496,126772506624,6611537920,121380306944,5.9,650121216,6116028416,97165312,8589930496,0,8589930496,0.0
2025-07-15T09:40:39.054656,43058,python,1030000640,7885979648,1029459968,1029867520,0.7643336069613097,1030000640,134757994496,126770528256,5.9,2025-07-15T09:40:39.054803,134757994496,126770528256,6613516288,121378320384,5.9,650129408,6116028416,97165312,8589930496,0,8589930496,0.0
2025-07-15T09:40:42.061475,43058,python,1030000640,7885979648,1029468160,1029875712,0.7643336069613097,1030000640,134757994496,126772273152,5.9,2025-07-15T09:40:42.061683,134757994496,126772273152,6611771392,121380065280,5.9,650129408,6116028416,97165312,8589930496,0,8589930496,0.0
2025-07-15T09:40:45.072531,43058,python,1030000640,7885979648,1029472256,1029879808,0.7643336069613097,1030000640,134757994496,126770114560,5.9,2025-07-15T09:40:45.073997,134757994496,126770114560,6613929984,121377898496,5.9,650137600,6116028416,97165312,8589930496,0,8589930496,0.0
2025-07-15T09:40:48.081495,43058,python,1030000640,7885979648,1029472256,1029879808,0.7643336069613097,1030000640,134757994496,126769831936,5.9,2025-07-15T09:40:48.082660,134757994496,126769831936,6614212608,121377615872,5.9,650137600,6116028416,97165312,8589930496,0,8589930496,0.0
2025-07-15T09:40:51.089651,43058,python,1030000640,7886114816,1029476352,1029883904,0.7643336069613097,1030000640,134757994496,126764859392,5.9,2025-07-15T09:40:51.089887,134757994496,126764859392,6619185152,121372635136,5.9,650145792,6116028416,97165312,8589930496,0,8589930496,0.0
2025-07-15T09:40:54.096692,43058,python,1030000640,7886114816,1029480448,1029888000,0.7643336069613097,1030000640,134757994496,126751227904,5.9,2025-07-15T09:40:54.099561,134757994496,126751227904,6632767488,121358946304,5.9,650153984,6116126720,97165312,8589930496,0,8589930496,0.0
2025-07-15T09:40:57.107428,43058,python,1030000640,7886114816,1029480448,1029863424,0.7643336069613097,1030000640,134757994496,126751858688,5.9,2025-07-15T09:40:57.109186,134757994496,126751858688,6632136704,121359577088,5.9,650153984,6116126720,97165312,8589930496,0,8589930496,0.0
2025-07-15T09:41:00.119546,43058,python,1030000640,7886114816,1029480448,1029888000,0.7643336069613097,1030000640,134757994496,126757736448,5.9,2025-07-15T09:41:00.120821,134757994496,126757736448,6626258944,121365454848,5.9,650153984,6116126720,97165312,8589930496,0,8589930496,0.0
2025-07-15T09:41:03.132244,43058,python,1030000640,7886114816,1029480448,1029863424,0.7643336069613097,1030000640,134757994496,126763282432,5.9,2025-07-15T09:41:03.133946,134757994496,126763282432,6620712960,121371000832,5.9,650153984,6116126720,97165312,8589930496,0,8589930496,0.0
2025-07-15T09:41:06.139831,43058,python,1030000640,7886114816,1029488640,1029896192,0.7643336069613097,1030000640,134757994496,126760226816,5.9,2025-07-15T09:41:06.141297,134757994496,126760226816,6623768576,121367937024,5.9,650158080,6116130816,97165312,8589930496,0,8589930496,0.0
2025-07-15T09:41:09.149846,43058,python,1030000640,7886114816,1029488640,1029871616,0.7643336069613097,1030000640,134757994496,126766014464,5.9,2025-07-15T09:41:09.149993,134757994496,126766014464,6617972736,121373724672,5.9,650166272,6116130816,97165312,8589930496,0,8589930496,0.0
2025-07-15T09:41:12.158453,43058,python,1030000640,7886114816,1029488640,1029896192,0.7643336069613097,1030000640,134757994496,126763413504,5.9,2025-07-15T09:41:12.161472,134757994496,126763413504,6620581888,121371115520,5.9,650166272,6116130816,97165312,8589930496,0,8589930496,0.0
2025-07-15T09:41:15.168750,43058,python,1030000640,7886114816,1029488640,1029871616,0.7643336069613097,1030000640,134757994496,126761357312,5.9,2025-07-15T09:41:15.170387,134757994496,126761357312,6622633984,121369055232,5.9,650170368,6116134912,97165312,8589930496,0,8589930496,0.0
2025-07-15T09:41:18.177177,43058,python,1030000640,7886114816,1029488640,1029896192,0.7643336069613097,1030000640,134757994496,126761947136,5.9,2025-07-15T09:41:18.178274,134757994496,126761947136,6622048256,121369640960,5.9,650170368,6116134912,97165312,8589930496,0,8589930496,0.0
2025-07-15T09:41:21.185014,43058,python,1030000640,7886114816,1029488640,1029871616,0.7643336069613097,1030000640,134757994496,126757138432,5.9,2025-07-15T09:41:21.185153,134757994496,126757138432,6626873344,121364840448,5.9,650178560,6116102144,97132544,8589930496,0,8589930496,0.0
2025-07-15T09:41:24.191166,43058,python,1030000640,7886114816,1029488640,1029896192,0.7643336069613097,1030000640,134757994496,126762201088,5.9,2025-07-15T09:41:24.194366,134757994496,126762201088,6621777920,121369894912,5.9,650186752,6116134912,97165312,8589930496,0,8589930496,0.0
2025-07-15T09:41:27.200886,43058,python,1030000640,7886114816,1029488640,1029896192,0.7643336069613097,1030000640,134757994496,126754095104,5.9,2025-07-15T09:41:27.201030,134757994496,126754095104,6629842944,121361539072,5.9,650518528,6116093952,97165312,8589930496,0,8589930496,0.0
2025-07-15T09:41:30.210490,43058,python,1030000640,7886114816,1029488640,1029896192,0.7643336069613097,1030000640,134757994496,126753652736,5.9,2025-07-15T09:41:30.210634,134757994496,126753652736,6630330368,121360986112,5.9,650518528,6116159488,97165312,8589930496,0,8589930496,0.0
2025-07-15T09:41:33.218658,43058,python,1030000640,7886114816,1029488640,1029871616,0.7643336069613097,1030000640,134757994496,126755020800,5.9,2025-07-15T09:41:33.218874,134757994496,126755020800,6628962304,121362350080,5.9,650522624,6116159488,97165312,8589930496,0,8589930496,0.0
2025-07-15T09:41:36.225621,43058,python,1030000640,7886114816,1029488640,1029896192,0.7643336069613097,1030000640,134757994496,126749642752,5.9,2025-07-15T09:41:36.225760,134757994496,126749642752,6634344448,121356976128,5.9,650522624,6116151296,97165312,8589930496,0,8589930496,0.0
2025-07-15T09:41:39.232335,43058,python,1030000640,7886114816,1029488640,1029871616,0.7643336069613097,1030000640,134757994496,126754557952,5.9,2025-07-15T09:41:39.232472,134757994496,126754557952,6629429248,121361891328,5.9,650526720,6116147200,97165312,8589930496,0,8589930496,0.0
2025-07-15T09:41:42.238893,43058,python,1030000640,7886114816,1029488640,1029896192,0.7643336069613097,1030000640,134757994496,126754426880,5.9,2025-07-15T09:41:42.239034,134757994496,126754426880,6629560320,121361743872,5.9,650534912,6116155392,97165312,8589930496,0,8589930496,0.0
