Wall time,Step,Value
1753760440.3229127,1,-604.322998046875
1753760494.6977732,2,-693.0325927734375
1753760554.38766,3,-759.7755737304688
1753761167.3977172,4,-632.8048706054688
1753761222.391269,5,-764.1820068359375
1753761278.630076,6,-858.551025390625
1753761334.0536692,7,-589.394287109375
1753761390.1598244,8,-672.3097534179688
1753761445.7910807,9,-645.61767578125
1753761500.714872,10,-439.6802978515625
1753761556.3608835,11,-615.7645874023438
1753761611.4964452,12,-541.8397216796875
1753761666.1621315,13,-655.6861572265625
1753761721.5369825,14,-540.4713745117188
1753761777.0733168,15,-563.691650390625
1753761831.6848533,16,-602.6902465820312
1753761886.6770809,17,-644.373291015625
1753761941.750154,18,-695.6160278320312
1753761996.731487,19,-505.3678894042969
1753762051.4191797,20,-567.8630981445312
1753762105.9007726,21,-493.02081298828125
1753762161.0189497,22,-639.34765625
1753762216.4740744,23,-752.1610107421875
1753762271.916491,24,-546.5380249023438
1753762327.3500106,25,-522.8953247070312
1753762382.6206439,26,-586.2236938476562
1753762438.4542904,27,-524.0748901367188
1753762494.1444645,28,-511.2274475097656
1753762551.2279425,29,-565.2737426757812
1753762607.6214006,30,-533.3632202148438
1753762664.2365532,31,-500.7152099609375
1753762720.7527168,32,-639.7344360351562
1753762777.1057916,33,-550.654296875
1753762832.8886647,34,-546.5023803710938
1753762889.191072,35,-719.5203247070312
1753762946.295112,36,-619.8698120117188
1753763002.4503837,37,-523.7516479492188
1753763058.8987103,38,-643.9576416015625
1753763114.2339153,39,-420.8071594238281
1753763170.8095357,40,-423.3636779785156
1753763226.8701856,41,-608.908447265625
1753763283.7176437,42,-540.0134887695312
1753763340.1376445,43,-528.9180908203125
1753763396.1405685,44,-469.7354431152344
1753763452.1055994,45,-413.3302307128906
1753763507.3688848,46,-429.4549255371094
1753763564.0881667,47,-421.4542541503906
1753763619.56125,48,-430.83636474609375
1753763675.6376572,49,-510.5500793457031
1753763730.7560306,50,-453.5195007324219
1753763786.3115065,51,-353.8358154296875
1753763842.9907694,52,-393.1782531738281
1753763899.6705177,53,-504.794921875
1753763956.5175757,54,-402.2469787597656
1753764013.1476607,55,-391.00042724609375
1753764069.059032,56,-440.671875
1753764124.2084782,57,-444.598388671875
1753764179.989557,58,-406.29315185546875
1753764236.8082128,59,-354.69305419921875
1753764292.2238226,60,-404.0238952636719
1753764348.6217859,61,-402.525634765625
1753764404.645289,62,-393.2807922363281
1753764460.2172995,63,-384.011474609375
1753764516.770158,64,-411.8573303222656
1753764571.8504279,65,-315.800537109375
1753764627.558967,66,-420.23468017578125
1753764683.6588233,67,-351.5113220214844
1753764740.26228,68,-388.9571838378906
1753764796.4833117,69,-398.45489501953125
1753764851.9094481,70,-375.4472961425781
1753764907.6199312,71,-393.3855895996094
1753764964.9266114,72,-364.3653869628906
1753765021.5746315,73,-318.67108154296875
1753765077.9042563,74,-292.6806640625
1753765134.6441832,75,-376.25360107421875
1753765191.9383905,76,-415.669189453125
1753765248.3885849,77,-329.8812255859375
1753765304.4699147,78,-503.6318359375
1753765360.363725,79,-372.3052978515625
1753765415.9586947,80,-407.69561767578125
1753765471.436626,81,-341.4952697753906
1753765527.8104103,82,-321.0631408691406
1753765583.6745396,83,-367.9666748046875
1753765639.089454,84,-320.8121032714844
1753765695.051024,85,-321.2584533691406
1753765751.3216147,86,-420.4403991699219
1753765807.6287916,87,-372.7720031738281
1753765863.9068267,88,-314.3623352050781
1753765920.2732222,89,-343.92706298828125
1753765976.5390801,90,-299.961669921875
1753766033.2692952,91,-319.76824951171875
1753766090.837387,92,-283.05035400390625
1753766147.95168,93,-429.8769836425781
1753766204.0810642,94,-349.0688171386719
1753766260.8196573,95,-263.09344482421875
1753766318.810859,96,-310.2792663574219
1753766375.0537663,97,-329.6137390136719
1753766432.1795554,98,-340.32476806640625
1753766488.8224108,99,-458.8681335449219
1753766546.518509,100,-340.0765686035156
1753766604.168995,101,-420.7362060546875
1753766661.3609023,102,-464.9821472167969
1753766719.0025504,103,-552.7525634765625
1753766776.8912473,104,-323.1112976074219
1753766837.4476562,105,-411.930908203125
