Wall time,Step,Value
1752506100.6118867,1,-2087.623779296875
1752506118.182081,2,-1837.9058837890625
1752506136.3112893,3,-1931.224853515625
1752506154.2525449,4,-1917.6964111328125
1752506173.138402,5,-2164.1435546875
1752506192.1904304,6,-2151.26904296875
1752506210.76226,7,-2073.65185546875
1752506230.6637537,8,-2728.925048828125
1752506250.530461,9,-2409.1826171875
1752506269.6616662,10,-2347.529296875
1752506289.8177376,11,-2429.688720703125
1752506308.7610006,12,-2596.45703125
1752506329.3114107,13,-2594.2978515625
1752506349.3889086,14,-2500.267578125
1752506369.038315,15,-2279.0830078125
1752506388.064175,16,-2081.0205078125
1752506407.0434532,17,-2116.1533203125
1752506425.189685,18,-2061.54931640625
1752506443.739481,19,-2080.514892578125
1752506461.4570577,20,-1912.83251953125
1752506479.3166833,21,-1903.45751953125
1752506496.8689635,22,-1807.9237060546875
1752506514.914026,23,-1911.27880859375
1752506533.3923867,24,-1904.43115234375
1752506550.680443,25,-1872.506103515625
1752506568.9527438,26,-2045.1195068359375
1752506587.111649,27,-1956.072509765625
1752506604.473603,28,-1865.086669921875
1752506622.831712,29,-2132.111328125
1752506641.4340293,30,-1899.1751708984375
1752506659.7660172,31,-1944.10546875
1752506678.1286027,32,-1927.707763671875
1752506696.2410617,33,-1877.0762939453125
1752506714.0182538,34,-1843.9051513671875
1752506731.735601,35,-1751.0860595703125
1752506749.2590563,36,-1775.3712158203125
1752506767.2475314,37,-1632.337158203125
1752506784.476806,38,-1710.0450439453125
1752506801.5604084,39,-1548.4998779296875
1752506818.759782,40,-1559.877197265625
1752506836.2040544,41,-1562.792236328125
1752506853.5357513,42,-1422.510009765625
1752506869.7297213,43,-1359.275634765625
1752506886.6643524,44,-1357.1513671875
1752506903.302984,45,-1176.2567138671875
1752506919.7264855,46,-1248.1185302734375
1752506936.4478002,47,-1347.8759765625
1752506952.8744125,48,-1100.49755859375
1752506968.5451534,49,-1002.8814086914062
1752506984.9603143,50,-1102.12744140625
1752507001.3060217,51,-968.2737426757812
1752507017.2144072,52,-963.2152099609375
1752507033.4500225,53,-935.6688842773438
1752507048.9035015,54,-783.0859375
1752507064.961998,55,-914.8110961914062
1752507080.6492538,56,-656.61572265625
1752507096.7457392,57,-774.5310668945312
1752507113.2416482,58,-653.19091796875
1752507129.0876002,59,-608.068115234375
1752507144.8216443,60,-640.1931762695312
1752507160.272926,61,-565.2398681640625
1752507175.838646,62,-529.5582275390625
1752507191.329121,63,-530.3896484375
1752507206.9926665,64,-516.0816650390625
1752507222.4246488,65,-510.88140869140625
