Step,Value
1,-531.1175039086315
2,-744.4416368837874
3,-1206.866919517704
4,-868.1417351682913
5,-839.2439393613782
6,-359.33477933791204
7,-691.4480168587252
8,-812.9376339999603
9,-779.0824910700062
10,-1362.3343287822458
11,-1108.249807968103
12,-822.6892821356092
13,-878.3618245936938
14,-702.0069668948113
15,-1454.3291195695442
16,-955.9234529045867
17,-466.4200192193587
18,-1085.1873929818855
19,-1043.991372736365
20,-683.0820460762822
21,-1067.0864310500722
22,-387.3012747162209
23,-958.144934087472
24,-484.149358433922
25,-991.6201740179665
26,-1025.6182800184586
27,-749.4130897609218
28,-857.8803959475027
29,-920.1186674642083
30,-587.3929264527465
31,-734.955377546304
32,-519.8664612308776
33,-822.2230654320125
34,-697.4503511599917
35,-1003.8442382868542
36,-1042.6803530254817
37,-484.0866023980309
38,-576.2624968438911
39,-857.9669305232524
40,-584.5958093153978
41,-517.4011659953179
42,-486.15421626893186
43,-739.5702784120286
44,-787.0368307979938
45,-451.50474467458383
46,-1227.8829438012945
47,-417.029957043788
48,-514.0080658798634
49,-590.9699408377571
50,-568.7471544975765
51,-706.5744565098819
52,-518.2703919613135
53,-593.4366530689784
54,-268.4369411696792
55,-468.40235047313274
56,-487.8871613385645
57,-478.5344487462373
58,-765.6580890178986
59,-957.9339985496326
60,-591.2441335738066
61,-620.9714827220796
62,-424.7657920061922
63,-655.4268894966694
64,-660.7303478790177
65,-863.0335396613149
66,-681.3691224784984
67,-480.6012304994563
68,-580.8281442989137
69,-381.729187287806
70,-480.61850044212446
71,-438.7069145003989
72,-717.734909718352
73,-670.6722391167988
74,-516.179659820694
75,-605.1902257134998
76,-456.10165994461414
77,-452.6753785902361
78,-562.3910033109536
79,-365.47770590625765
80,-413.1229322594081
81,-534.1234969407986
82,-308.3287526338384
83,-497.26056013555785
84,-560.1798189543621
85,-779.6842647087952
86,-488.43588602293875
87,-357.8048950127566
88,-627.8282662010495
89,-584.354086659221
90,-482.90347724384816
91,-302.83079426097896
92,-341.4083797951708
93,-234.78450431216126
94,-648.3711856371267
95,-883.2915302328172
96,-410.96506861949234
97,-393.1757568802754
98,-365.974802630566
99,-273.5334371027257
100,-421.9471020697464
101,-349.17990431118255
102,-851.7749566267364
103,-364.73433300704613
104,-531.7361481349037
105,-216.40159294995465
106,-214.35677261423513
107,-579.2522528221593
108,-511.82171217305654
109,-406.37280739741584
110,-504.3133827955778
111,-538.9236150607153
112,-265.68637633976346
113,-478.9923123217242
114,-356.95151353323826
115,-30.478640789826276
116,-290.62686861689923
117,-270.93330359633796
118,-126.39584553893758
119,-916.3452819400283
120,-406.8019325779553
121,-372.90225682149634
122,-141.6929451719873
123,-340.4723020858874
124,-382.09099985634185
125,-237.7162295232161
126,-341.9917456906954
127,-360.86204996135376
128,-317.00819000743473
129,-547.5320242376781
130,-27.27682645303775
131,-581.7665704781931
132,-48.49729957832659
133,-110.47625497287628
134,-271.6309136429018
135,-877.6383396578406
136,-298.7928476930783
137,-459.0028861378381
138,-159.31740840539894
139,-387.0527987776759
140,-252.39737485724098
141,-440.53736045397966
142,-342.21680319165347
143,-513.0842382207361
144,-109.94028685751198
145,-472.90220426984183
146,-377.2051999323667
147,-268.23889165177445
148,-63.78266025896063
149,-330.33381009404724
150,-201.80719839714723
151,-145.42226721153716
152,36.64339143698672
153,-163.87775886955902
154,-256.95809401566135
155,-178.32465862933253
156,-149.14198045261634
157,-12.336405607135688
158,-130.1788982423643
159,-172.7744328681501
160,-26.941107712691885
161,-191.68103019424012
162,212.47281675849305
163,-22.8884793714862
164,-98.71454945110354
165,-322.85299949439985
166,-170.8734428941044
167,-108.70089190620057
168,119.27553556624261
169,-55.062844406331536
170,-315.04466353899153
171,-223.09732127518882
172,-249.13341770755108
173,-79.27488006409877
174,-115.81398759016594
175,-57.222139820764326
176,-172.09031833268736
177,-547.5272277939903
178,-296.33416685610183
179,-1.0710690165743308
180,-287.76310158227705
181,-113.5024208285395
182,-218.8615951954469
183,3.144349541490861
184,-188.60259739527726
185,-135.1789736405746
186,-38.863622821188585
187,-439.90986126169986
188,180.86370048237717
189,-103.05263255376417
190,-454.6675056354004
191,-96.94140445360433
192,-619.2355116091888
193,-199.78429371137966
194,-303.95242474589617
195,-3.8066918348349894
196,-223.05319777014444
197,-86.87870547834267
198,-344.2553257675889
199,9.526765254837915
200,-26.094305353447016
201,-80.90421671945973
202,34.20155071246906
203,-132.303264058402
204,-24.289268595108204
205,-279.93118091549957
206,18.24027126832483
207,119.40817463678638
208,-73.40497048866662
209,-178.31710548371333
210,17.95649730430839
211,-175.0974503404241
212,-1.044877923458258
213,-60.821522290285614
214,-137.55794362726851
215,13.277005750104362
216,29.79768074977467
217,-11.673974908319051
218,-23.361192199901073
219,-201.8785903115754
220,-33.314096075772746
221,83.26486693288547
222,62.827231586638646
223,7.692646943688286
224,-111.89181969162098
225,-27.087352685918884
226,99.35378794199387
227,-74.3684057059858
228,0.07395478803096966
229,-167.36835273598982
230,-243.6628454848437
231,-115.58413808115475
232,-190.86194054506242
233,63.811172331140725
234,1.7815288476302196
235,-173.47152266236043
236,2.469899948499372
237,-18.879822502387405
238,13.914483123168464
239,12.071566367266534
240,151.1987045480556
241,23.923959571459065
242,70.52474472655474
243,-117.73509285128384
244,60.32398037854798
245,-51.94612888631177
246,45.6533965365515
247,18.71481760527255
248,-75.0917033758311
249,17.92033960671588
250,-68.88545903092582
251,54.78957190917417
252,-64.01410348500318
253,-131.2625019632023
254,152.69180707674442
255,79.92365884160544
256,-154.27918535951125
257,124.10764411634244
258,-98.0240593017944
259,63.196393339874604
260,-22.278479384493853
261,-3.0268165942290475
262,-19.747371420592067
263,-22.346044408111663
264,-127.2408511660581
265,-78.91326760106587
266,-50.517519477261345
267,64.84778760289434
268,13.235719998938903
269,-103.4572354676485
270,-144.11421843981677
271,-105.7368435817101
272,21.18642638360129
273,-68.90811151776069
274,-125.75875472270032
275,-29.674636143995336
276,-140.67867199230093
277,-255.998571361506
278,46.83192404588017
279,126.45972617537493
280,58.36482096484448
281,25.727957086096275
282,-35.62462193744541
283,-31.61270176259654
284,73.23239323886983
285,35.01724646412187
286,46.65783142933627
287,7.516007990589479
288,-93.64886624985694
289,-190.51626872551012
290,-63.72717797341179
291,-12.020791429752714
292,-1.788004983084555
293,-178.7550537334128
294,4.455798226517632
295,-16.6045181377057
296,-115.2866188558383
297,-126.76229489100268
298,51.448840012113365
299,-188.6205799289901
300,-162.42138851037345
301,42.32581907879167
302,83.70001771882093
303,-36.72298159340376
304,112.29932511152349
305,-81.26680345947179
306,-77.15853839343875
307,-20.673454272470856
308,-33.579509554414585
309,17.806864350151077
310,91.61011658749536
311,-24.476249049273452
312,102.37211993575097
313,-62.640444745882434
314,-0.4082206747287007
315,-17.76781866882485
316,-45.56965190981967
317,-20.570726265901783
318,20.641212222503505
319,-15.083075393427759
320,-55.049010986264264
321,80.30057249526239
322,23.690672507839636
323,28.040015220515137
324,-32.43819046106729
325,20.816708367938233
