Wall time,Step,Value
1754472956.7721717,0,-2090.354248046875
1754472957.290582,1,-3645.52294921875
1754472957.809632,2,-3647.091064453125
1754472958.3287723,3,-9919.0
1754472958.8478582,4,-3145.922119140625
1754472959.3660343,5,-3890.506103515625
1754472959.8850877,6,-3517.72705078125
1754472960.4033446,7,-3586.83203125
1754472960.921823,8,-3613.56982421875
1754472961.4400196,9,-3946.631591796875
1754472961.9589274,10,-3089.390869140625
1754472962.477148,11,-4445.8427734375
1754472962.9960725,12,-5931.82861328125
1754472963.5153081,13,-2859.754150390625
1754472964.0343087,14,-3661.306884765625
1754472964.5524602,15,-3557.16064453125
1754472965.071372,16,-3907.017333984375
1754472965.589918,17,-3831.358642578125
1754472966.1079473,18,-3684.11962890625
1754472966.625855,19,-3697.39111328125
1754472967.1440563,20,-3787.670166015625
1754472967.663858,21,-3741.115234375
1754472968.1820605,22,-4120.5634765625
1754472968.70033,23,-3749.5185546875
1754472969.2184784,24,-3560.02587890625
1754472969.7371323,25,-3746.370361328125
1754472970.2566626,26,-3952.518310546875
1754472970.775456,27,-4373.81494140625
1754472971.2939909,28,-3584.558837890625
1754472971.8132193,29,-4036.233642578125
1754472972.331519,30,-3547.44189453125
1754472972.8508742,31,-20426.5078125
1754472973.3691463,32,-2161.072998046875
1754472973.8880403,33,-3393.09912109375
1754472974.4063761,34,-3787.965087890625
1754472974.9255822,35,-3643.73046875
1754472975.444314,36,-3749.253173828125
1754472975.9622545,37,-3573.222900390625
1754472976.4803164,38,-3597.8876953125
1754472976.9979935,39,-3487.1474609375
1754472977.5161557,40,-3937.926025390625
1754472978.0353549,41,-5646.74072265625
1754472978.5534983,42,-3011.963134765625
1754472979.0724137,43,-3879.491455078125
1754472979.592192,44,-4070.3671875
1754472980.1101923,45,-3596.308837890625
1754472980.6292052,46,-3642.183349609375
1754472981.1475024,47,-3669.77490234375
1754472981.665771,48,-3758.97119140625
1754472982.1843357,49,-12763.67578125
1754472982.703472,50,-4023.335205078125
1754472983.2217731,51,-3552.443603515625
1754472983.7405748,52,-4286.44189453125
1754472984.259656,53,-3457.566162109375
1754472984.7777226,54,-3823.760498046875
1754472985.295757,55,-3523.446533203125
1754472985.814475,56,-3495.713623046875
1754472986.3325589,57,-4135.3125
1754472986.8512146,58,-3487.000732421875
1754472987.3693893,59,-3371.193115234375
1754472987.8888738,60,-12481.6220703125
1754472988.4076374,61,-2202.7900390625
1754472988.926214,62,-3897.4775390625
1754472989.4444056,63,-3502.68603515625
1754472989.963417,64,-4782.232421875
1754472990.4814713,65,-3794.197998046875
1754472991.0005019,66,-3942.64892578125
1754472991.5196824,67,-3543.92333984375
1754472992.0401344,68,-3676.562255859375
1754472992.5585587,69,-3687.3583984375
1754472993.0766876,70,-5235.8974609375
1754472993.5946937,71,-3525.2001953125
1754472994.1138237,72,-3795.912353515625
1754472994.633561,73,-3468.771728515625
1754472995.1516695,74,-3877.635009765625
1754472995.6704595,75,-3652.722412109375
1754472996.1896381,76,-4090.861083984375
1754472996.7083807,77,-3561.40283203125
1754472997.2266948,78,-3792.28076171875
1754472997.7466826,79,-3804.313720703125
1754472998.2651963,80,-4016.244140625
1754472998.7836554,81,-3532.9970703125
1754472999.3018222,82,-3515.9716796875
1754472999.819883,83,-3687.368408203125
1754473000.3382015,84,-3956.77978515625
1754473000.8565814,85,-3607.6494140625
1754473001.3746905,86,-3911.920654296875
1754473001.8928716,87,-3543.109130859375
1754473002.4120815,88,-4254.59130859375
1754473002.9307957,89,-5222.71240234375
1754473003.449144,90,-2996.567626953125
1754473003.96779,91,-2788.6435546875
1754473004.4859614,92,-1241.74560546875
1754473005.0044289,93,-6905.5537109375
1754473005.5228562,94,-3596.159423828125
1754473006.0421395,95,-3589.379150390625
1754473006.5615237,96,-4640.546875
1754473007.0796921,97,-1562.389892578125
1754473007.5992737,98,-6145.119140625
1754473008.1174707,99,-4985.177734375
1754473008.6368318,100,-3935.82666015625
1754473009.154981,101,-3403.630615234375
1754473009.673513,102,-3643.7275390625
1754473010.1918175,103,-3610.731689453125
1754473010.7101617,104,-4009.93115234375
1754473011.2288134,105,-4891.14794921875
1754473011.7475016,106,-5363.00146484375
1754473012.2661452,107,-3601.280029296875
1754473012.785634,108,-17501.7421875
1754473013.3040278,109,-2214.427490234375
1754473013.821998,110,-2156.67822265625
1754473014.3402548,111,-5400.2548828125
1754473014.8589468,112,-3922.068359375
1754473015.3771436,113,-3755.66259765625
1754473015.8952765,114,-3615.636474609375
1754473016.41408,115,-3061.660888671875
1754473016.9323592,116,-3922.673095703125
1754473017.4512303,117,-3614.369873046875
1754473017.9703782,118,-3357.35205078125
1754473018.4887936,119,-4029.824951171875
1754473019.007772,120,-1635.8104248046875
1754473019.5272148,121,-1244.64404296875
1754473020.0459747,122,-8204.568359375
1754473020.5643358,123,-3687.14892578125
1754473021.082947,124,-3696.430419921875
1754473021.601855,125,-3661.219482421875
1754473022.1202698,126,-3261.44921875
1754473022.638709,127,-3514.60107421875
1754473023.1575677,128,-12986.57421875
1754473023.6769848,129,-2210.1650390625
1754473024.1953871,130,-3487.986328125
1754473024.7148888,131,-3639.9931640625
1754473025.233238,132,-3529.772216796875
1754473025.7518823,133,-3630.65087890625
1754473026.2704237,134,-3767.586181640625
1754473026.7891898,135,-3711.24951171875
1754473027.30772,136,-3691.532958984375
1754473027.8265462,137,-2650.51708984375
1754473028.3449774,138,-7748.7978515625
1754473028.863288,139,-3177.219482421875
1754473029.3820388,140,-3558.2939453125
1754473029.9003701,141,-3506.187744140625
1754473030.4187856,142,-3740.41845703125
1754473030.9373384,143,-2952.27685546875
1754473031.4569352,144,-4686.57421875
1754473031.9758353,145,-3829.322998046875
1754473032.494708,146,-3615.163818359375
1754473033.0138478,147,-4561.09521484375
1754473033.5322587,148,-3607.70458984375
1754473034.050641,149,-3707.045654296875
1754473034.5690496,150,-3633.463623046875
1754473035.0876048,151,-3452.8173828125
1754473035.6065402,152,-3643.2724609375
1754473036.1253712,153,-3621.51416015625
1754473036.6440809,154,-3619.836181640625
1754473037.1635294,155,-3568.00048828125
1754473037.6820216,156,-3709.68896484375
1754473038.2012234,157,-12047.484375
1754473038.7194283,158,-2250.9892578125
1754473039.2380645,159,-4253.55419921875
1754473039.7572572,160,-2918.944580078125
1754473040.2754993,161,-3906.2783203125
1754473040.793427,162,-6780.98876953125
1754473041.3121972,163,-2923.8203125
