Wall time,Step,Value
1754403608.393705,0,0.0
1754403608.8988037,1,-50831.51953125
1754403609.4243999,2,-53347.38671875
1754403609.9301214,3,-52515.8046875
1754403610.4561646,4,-59962.8125
1754403610.9820318,5,-60606.6171875
1754403611.5087166,6,-59453.19921875
1754403612.0149932,7,-53529.3359375
1754403612.5409088,8,-52529.14453125
1754403613.0447807,9,-48198.2890625
1754403613.5685482,10,-44135.49609375
1754403614.0727654,11,-43263.79296875
1754403614.598661,12,-44393.03515625
1754403615.1042483,13,-42663.70703125
1754403615.608876,14,-40193.96484375
1754403616.1345637,15,-38267.80859375
1754403616.6388555,16,-33915.54296875
1754403617.1431513,17,-30258.33203125
1754403617.669053,18,-27381.232421875
1754403618.174196,19,-23326.482421875
1754403618.678837,20,-20191.599609375
1754403619.1829925,21,-18090.78125
1754403619.7095635,22,-17690.279296875
1754403620.2139978,23,-16532.595703125
1754403620.71895,24,-16506.8984375
1754403621.244499,25,-16344.896484375
1754403621.7489614,26,-16274.9462890625
1754403622.2747471,27,-16735.861328125
1754403622.800861,28,-17247.83984375
1754403623.3053887,29,-17889.7890625
1754403623.809988,30,-18148.556640625
1754403624.314251,31,-18451.470703125
1754403624.841126,32,-18878.951171875
1754403625.3459713,33,-18975.703125
1754403625.871788,34,-19120.15625
1754403626.3760462,35,-19204.685546875
1754403626.8799276,36,-19234.34765625
1754403627.4057455,37,-19268.32421875
1754403627.9310474,38,-19291.806640625
1754403628.4569106,39,-19336.599609375
1754403628.983372,40,-19402.625
1754403629.5087235,41,-19471.806640625
1754403630.0344796,42,-19508.484375
1754403630.5596247,43,-19449.572265625
1754403631.0853686,44,-19365.171875
1754403631.5897324,45,-19326.341796875
1754403632.0934935,46,-19231.21875
1754403632.597537,47,-19200.62890625
1754403633.122957,48,-18424.228515625
1754403633.626925,49,-12622.37890625
1754403634.1515234,50,-9259.0859375
1754403634.6795492,51,-7305.4423828125
1754403635.20721,52,-5606.03271484375
1754403635.712346,53,-4852.75
1754403636.2397218,54,-4331.26123046875
1754403636.7657275,55,-3881.5693359375
1754403637.2925897,56,-3502.6328125
1754403637.8208783,57,-3237.319580078125
1754403638.3491013,58,-2911.755859375
1754403638.8778586,59,-2721.2666015625
1754403639.3831837,60,-2581.265380859375
1754403639.9095452,61,-2456.01416015625
1754403640.4142294,62,-2270.154296875
1754403640.9409509,63,-2109.086181640625
1754403641.4461608,64,-2018.226318359375
1754403641.9510772,65,-1945.482177734375
1754403642.4792204,66,-1879.1014404296875
1754403643.0073638,67,-1815.6435546875
1754403643.5118732,68,-1749.3985595703125
1754403644.0399482,69,-1692.554931640625
1754403644.567674,70,-1649.706787109375
1754403645.096488,71,-1575.712646484375
1754403645.6220348,72,-1481.56884765625
1754403646.126422,73,-1426.543701171875
1754403646.6314816,74,-1407.783935546875
1754403647.1586857,75,-1390.2236328125
1754403647.6859956,76,-1355.7593994140625
1754403648.216415,77,-1316.888671875
1754403648.7419224,78,-1289.0445556640625
1754403649.2683156,79,-1262.328369140625
1754403649.7959325,80,-1246.525146484375
1754403650.3240883,81,-1211.4925537109375
1754403650.8522072,82,-1190.6678466796875
1754403651.3798695,83,-1171.249267578125
1754403651.9076157,84,-1141.734375
1754403652.4355013,85,-1122.1798095703125
1754403652.9400191,86,-1106.685546875
1754403653.468315,87,-1089.28515625
1754403653.973492,88,-1072.2686767578125
1754403654.5010886,89,-1060.7999267578125
1754403655.028624,90,-1046.2430419921875
1754403655.5557961,91,-1032.5997314453125
1754403656.0609705,92,-1011.5887451171875
1754403656.5661433,93,-990.417236328125
1754403657.0711637,94,-971.8231811523438
1754403657.5762155,95,-954.5267944335938
1754403658.1038268,96,-937.9641723632812
1754403658.6327536,97,-915.6602783203125
1754403659.161188,98,-901.079345703125
1754403659.6892772,99,-895.1571044921875
1754403660.1939852,100,-884.8148193359375
1754403660.7205112,101,-875.5484619140625
1754403661.2484105,102,-865.7718505859375
1754403661.75349,103,-858.1968383789062
1754403662.280386,104,-850.8803100585938
1754403662.8070786,105,-839.516845703125
1754403663.312377,106,-832.3294677734375
1754403663.817632,107,-826.218017578125
1754403664.3454452,108,-820.8534545898438
1754403664.8732514,109,-812.678466796875
1754403665.4013164,110,-806.2783813476562
1754403665.9282298,111,-799.1110229492188
1754403666.4556165,112,-792.9559326171875
1754403666.9820504,113,-786.0602416992188
1754403667.4868035,114,-779.0181274414062
1754403667.9914775,115,-773.2376098632812
1754403668.5195243,116,-768.6788330078125
1754403669.046115,117,-762.6524047851562
1754403669.551,118,-758.0711669921875
1754403670.0770965,119,-753.40234375
1754403670.602798,120,-746.8452758789062
1754403671.12702,121,-740.97900390625
1754403671.6513283,122,-735.0902099609375
1754403672.1754825,123,-729.0017700195312
1754403672.6991425,124,-720.4468994140625
1754403673.2226324,125,-715.627197265625
1754403673.726086,126,-709.82373046875
1754403674.2300878,127,-705.0497436523438
1754403674.7544208,128,-701.3875732421875
1754403675.2777889,129,-696.06787109375
1754403675.8021495,130,-691.2115478515625
1754403676.3260345,131,-683.7237548828125
1754403676.8495524,132,-675.163818359375
1754403677.3729954,133,-668.2059936523438
1754403677.8966653,134,-663.8333740234375
1754403678.4197872,135,-659.6558837890625
1754403678.9233346,136,-655.08544921875
1754403679.446376,137,-651.894287109375
1754403679.9694424,138,-647.6613159179688
