timestamp,interval_count,total_count,queue_size,max_queue_size,cpu_percent
2025-07-28T18:47:01.013036,1,1,1.0,1,0.0
2025-07-28T18:47:01.513439,1,2,1.0,1,18.1
2025-07-28T18:47:02.014121,1,3,1.0,1,18.7
2025-07-28T18:47:02.514807,1,4,1.0,1,18.7
2025-07-28T18:47:03.015447,1,5,1.0,1,16.8
2025-07-28T18:47:03.516243,2,7,1.0,1,15.4
2025-07-28T18:47:04.016756,1,8,1.0,1,18.5
2025-07-28T18:47:04.517170,1,9,1.0,1,19.5
2025-07-28T18:47:05.017708,1,10,1.0,1,19.8
2025-07-28T18:47:05.518105,1,11,1.0,1,18.5
2025-07-28T18:47:06.018589,1,12,1.0,1,16.3
2025-07-28T18:47:06.519140,1,13,1.0,1,15.3
2025-07-28T18:47:07.019802,1,14,1.0,1,15.2
2025-07-28T18:47:07.520421,1,15,1.0,1,15.1
2025-07-28T18:47:08.020963,2,17,1.0,1,15.8
2025-07-28T18:47:08.521590,0,17,1.0,1,14.5
2025-07-28T18:47:09.022041,2,19,1.0,1,16.5
2025-07-28T18:47:09.522693,1,20,1.0,1,19.7
2025-07-28T18:47:10.023158,1,21,1.0,1,19.5
2025-07-28T18:47:10.523570,1,22,1.0,1,18.7
2025-07-28T18:47:11.023943,1,23,1.0,1,18.4
2025-07-28T18:47:11.524524,1,24,1.0,1,15.1
2025-07-28T18:47:12.025328,1,25,1.0,1,15.0
2025-07-28T18:47:12.525898,1,26,1.0,1,15.3
2025-07-28T18:47:13.026344,2,28,1.0,1,17.1
2025-07-28T18:47:13.526773,1,29,1.0,1,19.1
2025-07-28T18:47:14.027676,1,30,1.0,1,11.2
2025-07-28T18:47:14.528560,1,31,1.0,1,19.4
2025-07-28T18:47:15.028966,1,32,1.0,1,17.3
2025-07-28T18:47:15.529415,1,33,1.0,1,14.9
2025-07-28T18:47:16.030021,1,34,1.0,1,20.0
2025-07-28T18:47:16.530908,1,35,1.0,1,18.3
2025-07-28T18:47:17.031327,1,36,1.0,1,16.0
2025-07-28T18:47:17.531838,1,37,1.0,1,16.0
2025-07-28T18:47:18.032477,1,38,1.0,1,14.7
2025-07-28T18:47:18.532881,1,39,1.0,1,11.7
2025-07-28T18:47:19.033546,1,40,1.0,1,18.3
